threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-873293989.056065,0,0,24228,116523,0.0,0.0,0.0,0.0,0.0
-562661078.8038019,1,0,24227,116523,4.127455836222553e-05,0.0,1.0,4.127455836222553e-05,8.254570968673904e-05
-412795938.4788751,2,0,24226,116523,8.254911672445105e-05,0.0,1.0,8.254911672445105e-05,0.00016508460586050352
-311721709.0021181,3,0,24225,116523,0.00012382367508667657,0.0,1.0,0.00012382367508667657,0.0002476166893648632
-278318661.03150755,4,0,24224,116523,0.0001650982334489021,0.0,1.0,0.0001650982334489021,0.0003301419610432486
-217304631.78162372,4,1,24224,116522,0.0001650982334489021,8.581996687349279e-06,0.8,0.0001650982334489021,0.00033012833739116086
-203263051.951314,5,1,24223,116522,0.00020637279181112762,8.581996687349279e-06,0.8333333333333334,0.00020637279181112762,0.00041264339357926876
-203018191.61956093,6,1,24222,116522,0.00024764735017335313,8.581996687349279e-06,0.8571428571428571,0.00024764735017335313,0.0004951516401898081
-189651112.99534857,7,1,24221,116522,0.00028892190853557867,8.581996687349279e-06,0.875,0.00028892190853557867,0.0005776530780656875
-176480920.90906245,7,2,24221,116521,0.00028892190853557867,1.7163993374698558e-05,0.7777777777777778,0.00028892190853557867,0.0005776292445434666
-176324293.45012975,7,3,24221,116520,0.00028892190853557867,2.5745990062047836e-05,0.7,0.00028892190853557867,0.0005776054129878703
-163793450.2109647,8,3,24220,116520,0.0003301964668978042,2.5745990062047836e-05,0.7272727272727273,0.0003301964668978042,0.0006600932381698915
-163692316.98719192,8,4,24220,116519,0.0003301964668978042,3.4327986749397115e-05,0.6666666666666666,0.0003301964668978042,0.0006600660066006601
-151627758.0188916,9,4,24219,116519,0.0003714710252600297,3.4327986749397115e-05,0.6923076923076923,0.0003714710252600297,0.0007425436244379356
-151595398.10320672,9,5,24219,116518,0.0003714710252600297,4.290998343674639e-05,0.6428571428571429,0.0003714710252600297,0.0007425129939773946
-139881135.82800743,9,6,24219,116517,0.0003714710252600297,5.149198012409567e-05,0.6,0.0003714710252600297,0.0007424823660438064
-139703477.2130853,10,6,24218,116517,0.00041274558362225524,5.149198012409567e-05,0.625,0.00041274558362225524,0.0008249463784853984
