threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-35522.429769704075,0,0,444,253,0.0,0.0,0.0,0.0,0.0
-17961.08812063946,0,1,444,252,0.0,0.003952569169960474,0.0,0.0,0.0
-17400.14590848507,1,1,443,252,0.0022522522522522522,0.003952569169960474,0.5,0.0022522522522522522,0.004484304932735426
-17118.685090636034,1,2,443,251,0.0022522522522522522,0.007905138339920948,0.3333333333333333,0.0022522522522522522,0.00447427293064877
-15966.422809069758,2,2,442,251,0.0045045045045045045,0.007905138339920948,0.5,0.0045045045045045045,0.00892857142857143
-11982.661743125,2,3,442,250,0.0045045045045045045,0.011857707509881422,0.4,0.0045045045045045045,0.008908685968819599
-11694.634557150304,3,3,441,250,0.006756756756756757,0.011857707509881422,0.5,0.006756756756756757,0.013333333333333332
-9290.77011229112,3,4,441,249,0.006756756756756757,0.015810276679841896,0.42857142857142855,0.006756756756756757,0.013303769401330377
-8304.48709540769,3,5,441,248,0.006756756756756757,0.019762845849802372,0.375,0.006756756756756757,0.013274336283185842
-8067.6959807412295,4,5,440,248,0.009009009009009009,0.019762845849802372,0.4444444444444444,0.009009009009009009,0.017660044150110375
-7618.866185678697,5,5,439,248,0.01126126126126126,0.019762845849802372,0.5,0.01126126126126126,0.02202643171806167
-7410.012444617419,5,6,439,247,0.01126126126126126,0.023715415019762844,0.45454545454545453,0.01126126126126126,0.02197802197802198
-6838.182072485251,6,6,438,247,0.013513513513513514,0.023715415019762844,0.5,0.013513513513513514,0.026315789473684213
-6582.576835812843,6,7,438,246,0.013513513513513514,0.02766798418972332,0.46153846153846156,0.013513513513513514,0.026258205689277902
-6083.596893585027,7,7,437,246,0.015765765765765764,0.02766798418972332,0.5,0.015765765765765764,0.030567685589519653
-5640.462034297628,7,8,437,245,0.015765765765765764,0.03162055335968379,0.4666666666666667,0.015765765765765764,0.030501089324618733
-5639.488086002614,8,8,436,245,0.018018018018018018,0.03162055335968379,0.5,0.018018018018018018,0.034782608695652174
-5350.793504451581,9,8,435,245,0.02027027027027027,0.03162055335968379,0.5294117647058824,0.02027027027027027,0.039045553145336226
-4839.939928189114,9,9,435,244,0.02027027027027027,0.03557312252964427,0.5,0.02027027027027027,0.03896103896103896
-4595.155731012486,10,9,434,244,0.02252252252252252,0.03557312252964427,0.5263157894736842,0.02252252252252252,0.04319654427645789
-4250.991722832867,10,10,434,243,0.02252252252252252,0.039525691699604744,0.5,0.02252252252252252,0.043103448275862065
-3858.5320694732973,11,10,433,243,0.024774774774774775,0.039525691699604744,0.5238095238095238,0.024774774774774775,0.04731182795698925
-3639.595603924511,11,11,433,242,0.024774774774774775,0.043478260869565216,0.5,0.024774774774774775,0.04721030042918455
-2830.0956618446157,12,11,432,242,0.02702702702702703,0.043478260869565216,0.5217391304347826,0.02702702702702703,0.05139186295503212
-2780.9579193788354,12,12,432,241,0.02702702702702703,0.04743083003952569,0.5,0.02702702702702703,0.05128205128205129
-2491.674584687238,12,13,432,240,0.02702702702702703,0.05138339920948617,0.48,0.02702702702702703,0.05117270788912581
-2410.010102863956,13,13,431,240,0.02927927927927928,0.05138339920948617,0.5,0.02927927927927928,0.05531914893617021
-2399.803083998517,13,14,431,239,0.02927927927927928,0.05533596837944664,0.48148148148148145,0.02927927927927928,0.055201698513800426
-2398.767506969251,14,14,430,239,0.03153153153153153,0.05533596837944664,0.5,0.03153153153153153,0.05932203389830508
-2300.7274844456574,15,14,429,239,0.033783783783783786,0.05533596837944664,0.5172413793103449,0.033783783783783786,0.06342494714587739
-2070.3537145839796,15,15,429,238,0.033783783783783786,0.05928853754940711,0.5,0.033783783783783786,0.06329113924050633
-1900.9948321042573,16,15,428,238,0.036036036036036036,0.05928853754940711,0.5161290322580645,0.036036036036036036,0.06736842105263159
-1890.1946560774356,17,15,427,238,0.038288288288288286,0.05928853754940711,0.53125,0.038288288288288286,0.07142857142857142
-1810.7374751324348,18,15,426,238,0.04054054054054054,0.05928853754940711,0.5454545454545454,0.04054054054054054,0.07547169811320754
-1803.7212388844894,19,15,425,238,0.04279279279279279,0.05928853754940711,0.5588235294117647,0.04279279279279279,0.0794979079497908
-1749.0673168063952,19,16,425,237,0.04279279279279279,0.06324110671936758,0.5428571428571428,0.04279279279279279,0.07933194154488518
-1665.6261677357513,20,16,424,237,0.04504504504504504,0.06324110671936758,0.5555555555555556,0.04504504504504504,0.08333333333333334
-1592.6267742826324,20,17,424,236,0.04504504504504504,0.06719367588932806,0.5405405405405406,0.04504504504504504,0.08316008316008316
-1494.2739691303686,21,17,423,236,0.0472972972972973,0.06719367588932806,0.5526315789473685,0.0472972972972973,0.08713692946058092
-1318.503771555224,21,18,423,235,0.0472972972972973,0.07114624505928854,0.5384615384615384,0.0472972972972973,0.08695652173913045
-1318.383001987563,22,18,422,235,0.04954954954954955,0.07114624505928854,0.55,0.04954954954954955,0.0909090909090909
-1313.195739281166,22,19,422,234,0.04954954954954955,0.07509881422924901,0.5365853658536586,0.04954954954954955,0.09072164948453607
-1302.7227137917034,23,19,421,234,0.0518018018018018,0.07509881422924901,0.5476190476190477,0.0518018018018018,0.09465020576131687
-1299.5172042996026,24,19,420,234,0.05405405405405406,0.07509881422924901,0.5581395348837209,0.05405405405405406,0.09856262833675565
-1296.8961920655033,25,19,419,234,0.05630630630630631,0.07509881422924901,0.5681818181818182,0.05630630630630631,0.10245901639344263
-1293.4757876894105,25,20,419,233,0.05630630630630631,0.07905138339920949,0.5555555555555556,0.05630630630630631,0.10224948875255624
-1238.7989516551104,25,21,419,232,0.05630630630630631,0.08300395256916997,0.5434782608695652,0.05630630630630631,0.10204081632653061
-1188.8177538193065,26,21,418,232,0.05855855855855856,0.08300395256916997,0.5531914893617021,0.05855855855855856,0.10590631364562118
-1165.5443739102063,27,21,417,232,0.060810810810810814,0.08300395256916997,0.5625,0.060810810810810814,0.10975609756097561
-1144.7014735653697,28,21,416,232,0.06306306306306306,0.08300395256916997,0.5714285714285714,0.06306306306306306,0.11359026369168355
