threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-777.1504210966888,0,0,66,300,0.0,0.0,0.0,0.0,0.0
-450.12604813169594,1,0,65,300,0.015151515151515152,0.0,1.0,0.015151515151515152,0.02985074626865672
-357.8183901461656,1,1,65,299,0.015151515151515152,0.0033333333333333335,0.5,0.015151515151515152,0.029411764705882356
-336.8621843287615,2,1,64,299,0.030303030303030304,0.0033333333333333335,0.6666666666666666,0.030303030303030304,0.057971014492753624
-322.8561429303968,2,2,64,298,0.030303030303030304,0.006666666666666667,0.5,0.030303030303030304,0.05714285714285715
-297.11522882169277,3,2,63,298,0.045454545454545456,0.006666666666666667,0.6,0.045454545454545456,0.08450704225352113
-266.4163882922562,3,3,63,297,0.045454545454545456,0.01,0.5,0.045454545454545456,0.08333333333333334
-266.0232395419099,4,3,62,297,0.06060606060606061,0.01,0.5714285714285714,0.06060606060606061,0.10958904109589043
-252.26702126006836,5,3,61,297,0.07575757575757576,0.01,0.625,0.07575757575757576,0.13513513513513511
-245.92147681351196,5,4,61,296,0.07575757575757576,0.013333333333333334,0.5555555555555556,0.07575757575757576,0.13333333333333333
-224.23570402592566,5,5,61,295,0.07575757575757576,0.016666666666666666,0.5,0.07575757575757576,0.13157894736842105
-223.80352397496904,6,5,60,295,0.09090909090909091,0.016666666666666666,0.5454545454545454,0.09090909090909091,0.15584415584415584
-197.45361557079997,6,6,60,294,0.09090909090909091,0.02,0.5,0.09090909090909091,0.15384615384615385
-179.7973488912075,6,7,60,293,0.09090909090909091,0.023333333333333334,0.46153846153846156,0.09090909090909091,0.1518987341772152
-156.97197923312262,6,8,60,292,0.09090909090909091,0.02666666666666667,0.42857142857142855,0.09090909090909091,0.15000000000000002
-133.09395654215945,7,8,59,292,0.10606060606060606,0.02666666666666667,0.4666666666666667,0.10606060606060606,0.1728395061728395
-117.3179475667265,8,8,58,292,0.12121212121212122,0.02666666666666667,0.5,0.12121212121212122,0.1951219512195122
-110.31955420712643,8,9,58,291,0.12121212121212122,0.03,0.47058823529411764,0.12121212121212122,0.1927710843373494
-106.4165335035782,9,9,57,291,0.13636363636363635,0.03,0.5,0.13636363636363635,0.21428571428571427
-102.57622697753453,9,10,57,290,0.13636363636363635,0.03333333333333333,0.47368421052631576,0.13636363636363635,0.2117647058823529
-95.01884022172788,9,11,57,289,0.13636363636363635,0.03666666666666667,0.45,0.13636363636363635,0.20930232558139533
-77.12492555075329,10,11,56,289,0.15151515151515152,0.03666666666666667,0.47619047619047616,0.15151515151515152,0.22988505747126436
-71.8066534994685,10,12,56,288,0.15151515151515152,0.04,0.45454545454545453,0.15151515151515152,0.22727272727272727
-66.03395613146716,11,12,55,288,0.16666666666666666,0.04,0.4782608695652174,0.16666666666666666,0.24719101123595505
-65.79002371685038,11,13,55,287,0.16666666666666666,0.043333333333333335,0.4583333333333333,0.16666666666666666,0.2444444444444444
-60.91077900555217,12,13,54,287,0.18181818181818182,0.043333333333333335,0.48,0.18181818181818182,0.2637362637362637
-57.64949734565721,13,13,53,287,0.19696969696969696,0.043333333333333335,0.5,0.19696969696969696,0.2826086956521739
-48.391258564507154,14,13,52,287,0.21212121212121213,0.043333333333333335,0.5185185185185185,0.21212121212121213,0.3010752688172043
-42.97837000208051,15,13,51,287,0.22727272727272727,0.043333333333333335,0.5357142857142857,0.22727272727272727,0.3191489361702128
-42.81692276422723,15,14,51,286,0.22727272727272727,0.04666666666666667,0.5172413793103449,0.22727272727272727,0.3157894736842105
-40.98167768567629,15,15,51,285,0.22727272727272727,0.05,0.5,0.22727272727272727,0.3125
-40.88711158230217,15,16,51,284,0.22727272727272727,0.05333333333333334,0.4838709677419355,0.22727272727272727,0.3092783505154639
