threshold,fpr,tpr
-334208.11261843384,0.0,0.0
-333301.96940703876,0.0,0.015625
-326581.338729776,0.0,0.03125
-325148.06310486177,0.0,0.046875
-325049.4975085066,0.0,0.0625
-322059.8791422155,0.0,0.078125
-321145.9187795827,0.0,0.09375
-315838.04263720714,0.0,0.109375
-283921.8569883525,0.0,0.125
-279859.07693493855,0.0,0.140625
-279673.60884126154,0.0,0.15625
-101590.12232523854,0.0,0.171875
-95578.19116245271,0.0,0.1875
-94568.62442697387,0.0,0.203125
-91761.96856044664,0.0,0.21875
-91260.08115397432,0.0,0.234375
-91134.06943246016,0.0,0.25
-89837.24062649997,0.0,0.265625
-89438.02348285854,0.0,0.28125
-89398.834987856,0.0,0.296875
-89039.35498903207,0.0,0.3125
-88733.6603329146,0.0,0.328125
-83247.80132095193,0.0,0.34375
-82554.89669410443,0.0,0.359375
-69849.33889638516,0.0,0.375
-69786.426169406,0.0,0.390625
-63894.50716971202,0.0,0.40625
-62509.04491216035,0.0,0.421875
-62504.908216318065,0.0,0.4375
-61926.07627630166,0.0,0.453125
-61266.76373823439,0.0,0.46875
-61190.65217736879,0.0,0.484375
-60792.70556895527,0.0,0.5
-60485.77256128337,0.0,0.515625
-46974.83048466954,0.0,0.53125
-42367.97174309059,0.0,0.546875
-42307.709153031574,0.0,0.5625
-42244.44159475671,0.0,0.578125
-41866.730399599306,0.0,0.59375
-41733.58948485624,0.0,0.609375
-41378.08115614074,0.0,0.625
-39165.500514395164,0.0,0.640625
-38792.99805237126,0.0,0.65625
-34937.40946917087,0.0,0.671875
-27217.185615857117,0.0,0.6875
-27159.349374097277,0.0,0.703125
-27120.13068936792,0.0,0.71875
-25381.494431303465,0.0,0.734375
-25374.95953121694,0.0,0.75
-19377.725472109363,0.0,0.765625
-18805.808423045994,0.0,0.78125
-18804.007573895113,0.0,0.796875
-17799.74735654924,0.0,0.8125
-17595.592933782216,0.0,0.828125
-17565.679896003618,0.0,0.84375
-16229.65734027562,0.0,0.859375
