threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
0.6830460067341065,1,0,332,199,0.003003003003003003,0.0,1.0,0.003003003003003003,0.005988023952095808
0.6606448412981979,1,1,332,198,0.003003003003003003,0.005025125628140704,0.5,0.003003003003003003,0.0059701492537313425
0.6586987193881149,2,1,331,198,0.006006006006006006,0.005025125628140704,0.6666666666666666,0.006006006006006006,0.011904761904761906
0.6497385846432497,3,1,330,198,0.009009009009009009,0.005025125628140704,0.75,0.009009009009009009,0.017804154302670624
0.6493845819036324,4,1,329,198,0.012012012012012012,0.005025125628140704,0.8,0.012012012012012012,0.02366863905325444
0.6331741759997785,6,1,327,198,0.018018018018018018,0.005025125628140704,0.8571428571428571,0.018018018018018018,0.03529411764705882
0.6288066665064723,7,1,326,198,0.021021021021021023,0.005025125628140704,0.875,0.021021021021021023,0.04105571847507332
0.6248028391064951,8,1,325,198,0.024024024024024024,0.005025125628140704,0.8888888888888888,0.024024024024024024,0.04678362573099415
0.6189514886003884,9,1,324,198,0.02702702702702703,0.005025125628140704,0.9,0.02702702702702703,0.052478134110787174
0.6189398912364196,9,2,324,197,0.02702702702702703,0.010050251256281407,0.8181818181818182,0.02702702702702703,0.05232558139534883
0.5946696867681491,11,2,322,197,0.03303303303303303,0.010050251256281407,0.8461538461538461,0.03303303303303303,0.06358381502890173
0.5891547386259179,12,2,321,197,0.036036036036036036,0.010050251256281407,0.8571428571428571,0.036036036036036036,0.069164265129683
0.5838073596539913,12,3,321,196,0.036036036036036036,0.01507537688442211,0.8,0.036036036036036036,0.06896551724137931
0.5826358097471639,13,3,320,196,0.03903903903903904,0.01507537688442211,0.8125,0.03903903903903904,0.07449856733524356
0.5805793709784477,15,3,318,196,0.04504504504504504,0.01507537688442211,0.8333333333333334,0.04504504504504504,0.08547008547008547
0.5803672099210636,15,4,318,195,0.04504504504504504,0.020100502512562814,0.7894736842105263,0.04504504504504504,0.08522727272727272
0.5756066614413311,15,5,318,194,0.04504504504504504,0.02512562814070352,0.75,0.04504504504504504,0.08498583569405099
0.5737884981518876,17,5,316,194,0.05105105105105105,0.02512562814070352,0.7727272727272727,0.05105105105105105,0.09577464788732394
0.5736601375606574,18,5,315,194,0.05405405405405406,0.02512562814070352,0.782608695652174,0.05405405405405406,0.10112359550561797
0.5727002784286482,19,5,314,194,0.057057057057057055,0.02512562814070352,0.7916666666666666,0.057057057057057055,0.10644257703081231
0.570127509437098,19,6,314,193,0.057057057057057055,0.03015075376884422,0.76,0.057057057057057055,0.10614525139664803
0.5684770656169122,20,6,313,193,0.06006006006006006,0.03015075376884422,0.7692307692307693,0.06006006006006006,0.11142061281337048
0.5662462650435514,20,7,313,192,0.06006006006006006,0.035175879396984924,0.7407407407407407,0.06006006006006006,0.1111111111111111
0.5637741126190512,21,7,312,192,0.06306306306306306,0.035175879396984924,0.75,0.06306306306306306,0.11634349030470913
0.5620520257422298,21,8,312,191,0.06306306306306306,0.04020100502512563,0.7241379310344828,0.06306306306306306,0.1160220994475138
0.5619950038615628,21,9,312,190,0.06306306306306306,0.04522613065326633,0.7,0.06306306306306306,0.11570247933884296
0.5600052538695525,21,10,312,189,0.06306306306306306,0.05025125628140704,0.6774193548387096,0.06306306306306306,0.11538461538461538
0.5594462114827093,21,11,312,188,0.06306306306306306,0.05527638190954774,0.65625,0.06306306306306306,0.11506849315068492
0.5539384727307509,21,12,312,187,0.06306306306306306,0.06030150753768844,0.6363636363636364,0.06306306306306306,0.11475409836065573
0.5538858547614361,22,12,311,187,0.06606606606606606,0.06030150753768844,0.6470588235294118,0.06606606606606606,0.11989100817438693
0.5526890587022287,23,12,310,187,0.06906906906906907,0.06030150753768844,0.6571428571428571,0.06906906906906907,0.125
0.5486985548855075,24,12,309,187,0.07207207207207207,0.06030150753768844,0.6666666666666666,0.07207207207207207,0.13008130081300812
0.5475184993294471,24,13,309,186,0.07207207207207207,0.06532663316582915,0.6486486486486487,0.07207207207207207,0.1297297297297297
0.5467804625192195,25,13,308,186,0.07507507507507508,0.06532663316582915,0.6578947368421053,0.07507507507507508,0.13477088948787064
0.5463003000178831,25,14,308,185,0.07507507507507508,0.07035175879396985,0.6410256410256411,0.07507507507507508,0.13440860215053763
0.5454251930782628,25,15,308,184,0.07507507507507508,0.07537688442211055,0.625,0.07507507507507508,0.13404825737265416
0.5445137450301901,26,15,307,184,0.07807807807807808,0.07537688442211055,0.6341463414634146,0.07807807807807808,0.13903743315508021
0.5420880680141346,27,15,306,184,0.08108108108108109,0.07537688442211055,0.6428571428571429,0.08108108108108109,0.14400000000000002
0.5402298973917932,27,16,306,183,0.08108108108108109,0.08040201005025126,0.627906976744186,0.08108108108108109,0.14361702127659573
0.539653860435508,27,17,306,182,0.08108108108108109,0.08542713567839195,0.6136363636363636,0.08108108108108109,0.14323607427055704
0.5355014609638662,28,17,305,182,0.08408408408408409,0.08542713567839195,0.6222222222222222,0.08408408408408409,0.14814814814814817
0.530822176470896,29,17,304,182,0.08708708708708708,0.08542713567839195,0.6304347826086957,0.08708708708708708,0.15303430079155672
0.5298145890013025,30,17,303,182,0.09009009009009009,0.08542713567839195,0.6382978723404256,0.09009009009009009,0.15789473684210525
0.5289338321120348,30,18,303,181,0.09009009009009009,0.09045226130653267,0.625,0.09009009009009009,0.15748031496062992
0.5288704482333793,31,18,302,181,0.09309309309309309,0.09045226130653267,0.6326530612244898,0.09309309309309309,0.16230366492146595
