threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
0.6735854746673091,0,1,18,42,0.0,0.023255813953488372,0.0,0.0,0.0
0.6532116384921214,1,1,17,42,0.05555555555555555,0.023255813953488372,0.5,0.05555555555555555,0.09999999999999999
0.6531634390111294,1,2,17,41,0.05555555555555555,0.046511627906976744,0.3333333333333333,0.05555555555555555,0.09523809523809525
0.6347662996033324,2,2,16,41,0.1111111111111111,0.046511627906976744,0.5,0.1111111111111111,0.1818181818181818
0.625013970178816,2,3,16,40,0.1111111111111111,0.06976744186046512,0.4,0.1111111111111111,0.1739130434782609
0.6216136944674604,3,3,15,40,0.16666666666666666,0.06976744186046512,0.5,0.16666666666666666,0.25
0.6213829857361718,3,4,15,39,0.16666666666666666,0.09302325581395349,0.42857142857142855,0.16666666666666666,0.24
0.6165345849146459,3,5,15,38,0.16666666666666666,0.11627906976744186,0.375,0.16666666666666666,0.23076923076923078
0.6124074892428569,3,6,15,37,0.16666666666666666,0.13953488372093023,0.3333333333333333,0.16666666666666666,0.2222222222222222
0.6040456818847885,3,7,15,36,0.16666666666666666,0.16279069767441862,0.3,0.16666666666666666,0.21428571428571427
0.6037407217082968,3,8,15,35,0.16666666666666666,0.18604651162790697,0.2727272727272727,0.16666666666666666,0.20689655172413793
0.6016653481736316,4,8,14,35,0.2222222222222222,0.18604651162790697,0.3333333333333333,0.2222222222222222,0.26666666666666666
0.5998727443465842,4,9,14,34,0.2222222222222222,0.20930232558139536,0.3076923076923077,0.2222222222222222,0.2580645161290323
0.5991454987993512,4,10,14,33,0.2222222222222222,0.23255813953488372,0.2857142857142857,0.2222222222222222,0.25
0.5913828511446547,4,11,14,32,0.2222222222222222,0.2558139534883721,0.26666666666666666,0.2222222222222222,0.2424242424242424
0.5862742908708705,4,12,14,31,0.2222222222222222,0.27906976744186046,0.25,0.2222222222222222,0.23529411764705882
0.5819271517037942,4,13,14,30,0.2222222222222222,0.3023255813953488,0.23529411764705882,0.2222222222222222,0.22857142857142856
0.5744532431273955,4,14,14,29,0.2222222222222222,0.32558139534883723,0.2222222222222222,0.2222222222222222,0.2222222222222222
0.5716109441363314,5,14,13,29,0.2777777777777778,0.32558139534883723,0.2631578947368421,0.2777777777777778,0.27027027027027023
0.567324020605996,5,15,13,28,0.2777777777777778,0.3488372093023256,0.25,0.2777777777777778,0.2631578947368421
0.5656222515839937,5,16,13,27,0.2777777777777778,0.37209302325581395,0.23809523809523808,0.2777777777777778,0.25641025641025644
0.5581664873752702,6,16,12,27,0.3333333333333333,0.37209302325581395,0.2727272727272727,0.3333333333333333,0.3
0.5504745540177254,6,17,12,26,0.3333333333333333,0.3953488372093023,0.2608695652173913,0.3333333333333333,0.2926829268292683
0.5450393085463427,6,18,12,25,0.3333333333333333,0.4186046511627907,0.25,0.3333333333333333,0.28571428571428575
0.5409794888699159,7,18,11,25,0.3888888888888889,0.4186046511627907,0.28,0.3888888888888889,0.32558139534883723
0.5355707833795461,7,19,11,24,0.3888888888888889,0.4418604651162791,0.2692307692307692,0.3888888888888889,0.3181818181818182
0.5352063430961121,7,20,11,23,0.3888888888888889,0.46511627906976744,0.25925925925925924,0.3888888888888889,0.3111111111111111
0.5314026793769796,7,21,11,22,0.3888888888888889,0.4883720930232558,0.25,0.3888888888888889,0.30434782608695654
0.5283368329180677,7,22,11,21,0.3888888888888889,0.5116279069767442,0.2413793103448276,0.3888888888888889,0.2978723404255319
0.5250662990808781,7,23,11,20,0.3888888888888889,0.5348837209302325,0.23333333333333334,0.3888888888888889,0.2916666666666667
0.5229469173848661,7,24,11,19,0.3888888888888889,0.5581395348837209,0.22580645161290322,0.3888888888888889,0.2857142857142857
0.5200822872181623,7,25,11,18,0.3888888888888889,0.5813953488372093,0.21875,0.3888888888888889,0.28
0.5199190934968031,8,26,10,17,0.4444444444444444,0.6046511627906976,0.23529411764705882,0.4444444444444444,0.30769230769230765
0.5138357064896228,8,27,10,16,0.4444444444444444,0.627906976744186,0.22857142857142856,0.4444444444444444,0.3018867924528302
0.5128026079788646,8,28,10,15,0.4444444444444444,0.6511627906976745,0.2222222222222222,0.4444444444444444,0.2962962962962963
0.5125661101739667,8,29,10,14,0.4444444444444444,0.6744186046511628,0.21621621621621623,0.4444444444444444,0.2909090909090909
0.5078192103618085,9,29,9,14,0.5,0.6744186046511628,0.23684210526315788,0.5,0.32142857142857145
0.5062848332880394,9,30,9,13,0.5,0.6976744186046512,0.23076923076923078,0.5,0.3157894736842105
0.5021791328786712,9,31,9,12,0.5,0.7209302325581395,0.225,0.5,0.3103448275862069
0.4995811547464554,9,32,9,11,0.5,0.7441860465116279,0.21951219512195122,0.5,0.3050847457627119
0.4975358309839814,9,33,9,10,0.5,0.7674418604651163,0.21428571428571427,0.5,0.3
0.49624256284047485,10,33,8,10,0.5555555555555556,0.7674418604651163,0.23255813953488372,0.5555555555555556,0.3278688524590164
0.4850028761579329,10,34,8,9,0.5555555555555556,0.7906976744186046,0.22727272727272727,0.5555555555555556,0.3225806451612903
0.48430548970782156,11,34,7,9,0.6111111111111112,0.7906976744186046,0.24444444444444444,0.6111111111111112,0.3492063492063492
0.48195551854954044,11,35,7,8,0.6111111111111112,0.813953488372093,0.2391304347826087,0.6111111111111112,0.34375
0.478783403950827,11,36,7,7,0.6111111111111112,0.8372093023255814,0.23404255319148937,0.6111111111111112,0.3384615384615385
0.4714011559930526,11,37,7,6,0.6111111111111112,0.8604651162790697,0.22916666666666666,0.6111111111111112,0.33333333333333337
0.46518249075403256,12,37,6,6,0.6666666666666666,0.8604651162790697,0.24489795918367346,0.6666666666666666,0.35820895522388063
0.4650114269028177,13,37,5,6,0.7222222222222222,0.8604651162790697,0.26,0.7222222222222222,0.3823529411764706
0.4563412059531029,14,37,4,6,0.7777777777777778,0.8604651162790697,0.27450980392156865,0.7777777777777778,0.4057971014492754
0.45552002580099593,15,37,3,6,0.8333333333333334,0.8604651162790697,0.28846153846153844,0.8333333333333334,0.42857142857142855
0.4549219213012553,15,38,3,5,0.8333333333333334,0.8837209302325582,0.2830188679245283,0.8333333333333334,0.4225352112676056
0.4533667434527383,15,39,3,4,0.8333333333333334,0.9069767441860465,0.2777777777777778,0.8333333333333334,0.4166666666666667
0.45220175535647783,16,39,2,4,0.8888888888888888,0.9069767441860465,0.2909090909090909,0.8888888888888888,0.4383561643835616
0.4496150887010369,16,40,2,3,0.8888888888888888,0.9302325581395349,0.2857142857142857,0.8888888888888888,0.43243243243243246
0.44884919504941906,17,40,1,3,0.9444444444444444,0.9302325581395349,0.2982456140350877,0.9444444444444444,0.45333333333333325
0.4486337141196555,17,41,1,2,0.9444444444444444,0.9534883720930233,0.29310344827586204,0.9444444444444444,0.44736842105263147
0.4484216700094892,17,42,1,1,0.9444444444444444,0.9767441860465116,0.288135593220339,0.9444444444444444,0.4415584415584416
0.4474396885675967,17,43,1,0,0.9444444444444444,1.0,0.2833333333333333,0.9444444444444444,0.4358974358974359
0.4347385844536826,18,43,0,0,1.0,1.0,0.29508196721311475,1.0,0.4556962025316456
