threshold,fpr,tpr
0.0,0.0,0.0
0.36015746874064747,1.0,1.0
0.37275242281230136,0.999,1.0
0.3742951481149851,0.998,1.0
0.3755076954100579,0.997,1.0
0.3767962013455179,0.996,1.0
0.3828473433692652,0.995,1.0
0.3836432269217517,0.994,1.0
0.384799650815505,0.993,1.0
0.38482959061595884,0.992,1.0
0.38649206002142583,0.991,1.0
0.3914825392923492,0.99,1.0
0.40303623774527014,0.989,1.0
0.41674900264400955,0.988,1.0
0.4233801194504013,0.987,1.0
0.4270589883665648,0.986,1.0
0.4311580849941448,0.985,1.0
0.4317970552613945,0.984,1.0
0.4319245390905717,0.983,1.0
0.4346551400393625,0.982,1.0
0.4350342117938146,0.981,1.0
0.4351933886260419,0.98,1.0
0.43692557175907476,0.979,1.0
0.43730298994633127,0.978,1.0
0.4378874499644086,0.977,1.0
0.438800071457135,0.976,1.0
0.43890346301970223,0.975,1.0
0.44027828666680624,0.974,1.0
0.44144533502869004,0.973,1.0
0.4466537453178384,0.972,1.0
0.4471017451352316,0.971,1.0
0.4475756262985268,0.97,1.0
0.44769340880775094,0.969,1.0
0.448088853499096,0.968,1.0
0.4484052934203928,0.967,1.0
0.4484080930946539,0.966,1.0
0.44852405392623396,0.965,1.0
0.4491248170300193,0.964,1.0
0.4501601915986903,0.963,1.0
0.4518539266452812,0.962,1.0
0.45210605637527135,0.961,1.0
0.45234297995348804,0.96,1.0
0.45237267563829,0.959,1.0
0.4529571799497182,0.958,1.0
0.4529597282852832,0.957,1.0
0.45370230706592696,0.956,1.0
0.457422787086751,0.955,1.0
0.4612219555999469,0.954,1.0
0.4612842514456383,0.953,1.0
0.46156721037731874,0.952,1.0
0.46175434911937696,0.951,1.0
0.46195143781068243,0.95,1.0
0.4626010741808072,0.949,1.0
0.4626372085474048,0.948,1.0
0.4634858286286194,0.947,1.0
0.46393042954218383,0.946,1.0
0.464840011438641,0.945,1.0
0.46519198326524885,0.944,1.0
0.4654546028160954,0.943,1.0
0.4655697831473817,0.942,1.0
0.46574572869883335,0.941,1.0
0.46591837043765827,0.94,1.0
0.4673670367368477,0.939,1.0
0.468006718105185,0.938,1.0
0.4695553787066479,0.937,1.0
0.46992457233085566,0.936,1.0
0.4705679975549425,0.935,1.0
0.4709206845956513,0.934,1.0
0.471057731584208,0.933,1.0
0.4713151676243847,0.932,1.0
0.47160369900839305,0.931,1.0
0.47174665669861293,0.93,1.0
0.47178732200202067,0.929,1.0
0.4725317455561038,0.928,1.0
0.47255605488871205,0.927,1.0
0.4728212862202869,0.926,1.0
0.47287836510065295,0.925,1.0
0.4732619882822937,0.924,1.0
0.4733871190735346,0.923,1.0
0.47354931171838266,0.922,1.0
0.4737333988585674,0.921,1.0
0.47398341826806,0.92,1.0
0.4740918702319388,0.919,1.0
0.4749407057499974,0.918,1.0
0.4750835185156038,0.917,1.0
0.47593092777817075,0.916,1.0
0.4761588845337768,0.915,1.0
0.4771478414685903,0.914,1.0
0.47757133642810184,0.913,1.0
0.47890529342204335,0.912,1.0
0.4793403597560277,0.911,1.0
0.4793708055177204,0.91,1.0
0.4798644775514292,0.909,1.0
0.48040248802545943,0.908,1.0
0.48171551459028145,0.907,1.0
0.48219684551305114,0.906,1.0
0.4829082632933616,0.905,1.0
0.48302589851283234,0.904,1.0
0.48344512065769296,0.903,1.0
0.48525955918607977,0.902,1.0
0.48609192194390966,0.901,1.0
0.48687186842925767,0.9,1.0
0.4873610583466558,0.899,1.0
0.4877070629782227,0.898,1.0
0.48773430522857364,0.897,1.0
0.4883448451269435,0.896,1.0
0.4884582312736787,0.895,1.0
0.48878974891388177,0.894,1.0
0.48883664406487926,0.893,1.0
0.4896587333984376,0.892,1.0
0.4897012778490866,0.891,1.0
0.4897975338237713,0.89,1.0
0.4910375969033511,0.889,1.0
0.4912573920161318,0.888,1.0
0.49158374184775816,0.887,1.0
0.4921934749280514,0.886,1.0
0.4923597003393223,0.885,1.0
0.49238192595709634,0.884,1.0
0.4924509288289454,0.883,1.0
0.49306189014616025,0.882,1.0
0.4931440369313827,0.881,1.0
0.4942330232700594,0.88,1.0
0.494537853667175,0.879,1.0
0.4953852174520445,0.878,1.0
0.49550298231674594,0.877,1.0
0.4955645367608907,0.876,1.0
0.4958340991230257,0.875,1.0
0.4970068090753369,0.874,1.0
0.4977901760213047,0.873,1.0
0.4979588193486524,0.872,1.0
0.4982880497019003,0.871,1.0
0.49868770562517184,0.87,1.0
0.4988395674945937,0.869,1.0
0.4990213015149099,0.868,1.0
0.49985724491073225,0.867,1.0
0.5002727739303844,0.866,1.0
0.500484877427705,0.865,1.0
0.5007334752737693,0.864,1.0
0.5008007211452883,0.863,1.0
0.5009962480203896,0.862,1.0
0.501218826064934,0.861,1.0
0.5019510487019192,0.86,1.0
0.5026178456716273,0.859,1.0
0.5028634002473975,0.858,1.0
0.5030903923898102,0.857,1.0
0.5036249879888641,0.856,1.0
0.5045414601734857,0.855,1.0
0.5050598947926187,0.854,1.0
0.5050779516625433,0.853,1.0
0.505517293736273,0.852,1.0
0.5061008308726233,0.851,1.0
0.5066202603435318,0.85,1.0
0.5066598122310426,0.849,1.0
0.5070367284460026,0.848,1.0
0.5080919347089606,0.847,1.0
0.5081741468069578,0.846,1.0
0.5086096324825411,0.845,1.0
0.5087974699226834,0.844,1.0
0.5088272883206194,0.843,1.0
0.5090312413186341,0.842,1.0
0.5096140753024487,0.841,1.0
0.5105691546302314,0.84,1.0
0.5107112831849717,0.839,1.0
0.5114765834920223,0.838,1.0
0.5114889100705524,0.837,1.0
0.5118895960516735,0.836,1.0
0.512078756406942,0.835,1.0
0.5122920622457792,0.834,1.0
0.5123759174022723,0.833,1.0
0.5123949110467065,0.832,1.0
0.5127909703914577,0.831,1.0
0.5131703684515895,0.83,1.0
0.5135254191306527,0.829,1.0
0.5140420204821696,0.828,1.0
0.5148912286763728,0.827,1.0
0.5153452423202544,0.826,1.0
0.5153897785606643,0.825,1.0
0.5159739654871389,0.824,1.0
0.516232188687436,0.823,1.0
0.516296354861494,0.822,1.0
0.516635331122743,0.821,1.0
0.5166731571749658,0.82,1.0
0.5167821087688805,0.819,1.0
0.5169872985160938,0.818,1.0
0.5171644188948931,0.817,1.0
0.5171968987739802,0.816,1.0
0.5174870215814693,0.815,1.0
0.5175217721038536,0.814,1.0
0.5176628025812915,0.813,1.0
0.5179354024986522,0.812,1.0
0.5179817397017598,0.811,1.0
0.5184737345848454,0.81,1.0
0.5186000234318734,0.809,1.0
0.5186676009565077,0.808,1.0
0.5188151739004201,0.807,1.0
0.5191208668914692,0.806,1.0
0.5196258348256825,0.805,1.0
0.5199229569109678,0.804,1.0
0.5201806013762564,0.803,1.0
0.5203643139498784,0.802,1.0
0.5216820171037078,0.801,1.0
0.5217682318068094,0.8,1.0
0.5220544513838485,0.799,1.0
