threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-10005480852.858145,0,0,24228,116523,0.0,0.0,0.0,0.0,0.0
-10003507986.201992,1,0,24227,116523,4.127455836222553e-05,0.0,1.0,4.127455836222553e-05,8.254570968673904e-05
-10001973493.386393,2,0,24226,116523,8.254911672445105e-05,0.0,1.0,8.254911672445105e-05,0.00016508460586050352
-10000877112.658756,4,0,24224,116523,0.0001650982334489021,0.0,1.0,0.0001650982334489021,0.0003301419610432486
-10000219319.239975,8,0,24220,116523,0.0003301964668978042,0.0,1.0,0.0003301964668978042,0.0006601749463607857
-10000000001.0,44,0,24184,116523,0.0018160805679379231,0.0,1.0,0.0018160805679379231,0.0036255767963085037
-9719556714.937609,2099,0,22129,116523,0.08663529800231137,0.0,1.0,0.08663529800231137,0.15945607171345008
-9716173893.087618,2100,0,22128,116523,0.0866765725606736,0.0,1.0,0.0866765725606736,0.15952597994530537
-9715125514.106985,2101,0,22127,116523,0.08671784711903582,0.0,1.0,0.08671784711903582,0.15959588286680088
-9715121008.819845,2102,0,22126,116523,0.08675912167739805,0.0,1.0,0.08675912167739805,0.1596657804785416
-9715119507.649818,2106,0,22122,116523,0.08692421991084695,0.0,1.0,0.08692421991084695,0.1599453178400547
-9714498766.739504,2110,0,22118,116523,0.08708931814429585,0.0,1.0,0.08708931814429585,0.16022477029387197
-9714498766.601315,2117,0,22111,116523,0.08737824005283143,0.0,1.0,0.08737824005283143,0.16071360789523628
-9714498687.962582,2125,0,22103,116523,0.08770843651972923,0.0,1.0,0.08770843651972923,0.16127196144651462
-9714498686.67894,2135,0,22093,116523,0.0881211821033515,0.0,1.0,0.0881211821033515,0.1619694268482343
-9714494182.206066,2149,0,22079,116523,0.08869902592042266,0.0,1.0,0.08869902592042266,0.16294498995336848
-9714494181.293026,2169,0,22059,116523,0.08952451708766716,0.0,1.0,0.08952451708766716,0.1643368564609615
-9714492680.090082,2179,0,22049,116523,0.08993726267128942,0.0,1.0,0.08993726267128942,0.1650319990911501
-9714285716.721474,2184,0,22044,116523,0.09014363546310054,0.0,1.0,0.09014363546310054,0.16537937301226716
-9714285715.41482,2238,0,21990,116523,0.09237246161466073,0.0,1.0,0.09237246161466073,0.16912264792564044
-9429364434.60162,2291,0,21937,116523,0.09456001320785867,0.0,1.0,0.09456001320785867,0.17278177910177606
-9429362976.697533,2295,0,21933,116523,0.09472511144130757,0.0,1.0,0.09472511144130757,0.17305734645402102
-9428937459.286152,2297,0,21931,116523,0.09480766055803203,0.0,1.0,0.09480766055803203,0.1731950989632422
-9428778062.405645,2297,1,21931,116522,0.09480766055803203,8.581996687349279e-06,0.9995648389904265,0.09480766055803203,0.1731885697051949
-9428773764.331194,2308,1,21920,116522,0.0952616807000165,8.581996687349279e-06,0.9995669120831528,0.0952616807000165,0.1739458115084599
-9428773763.327787,2324,1,21904,116522,0.09592207363381212,8.581996687349279e-06,0.9995698924731182,0.09592207363381212,0.17504613414680073
-9428773688.526972,2332,1,21896,116522,0.09625227010070993,8.581996687349279e-06,0.9995713673381912,0.09625227010070993,0.1755957983509657
-9428772231.137846,2335,1,21893,116522,0.0963760937757966,8.581996687349279e-06,0.9995719178082192,0.0963760937757966,0.17580183707273
-9428772230.168242,2346,1,21882,116522,0.09683011391778108,8.581996687349279e-06,0.9995739241585002,0.09683011391778108,0.1765569143932267
-9428769317.275753,2349,1,21879,116522,0.09695393759286776,8.581996687349279e-06,0.9995744680851064,0.09695393759286776,0.17676273609752427
-9428769316.656496,2352,1,21876,116522,0.09707776126795443,8.581996687349279e-06,0.9995750106247344,0.09707776126795443,0.1769685113426884
-9428769316.19933,2362,1,21866,116522,0.09749050685157669,8.581996687349279e-06,0.9995768091409225,0.09749050685157669,0.17765409349027864
-9428767857.902153,2378,1,21850,116522,0.0981508997853723,8.581996687349279e-06,0.9995796553173603,0.0981508997853723,0.17874995301988197
-9428619519.38424,2381,1,21847,116522,0.09827472346045897,8.581996687349279e-06,0.9995801847187238,0.09827472346045897,0.17895527996993607
-9428571430.142977,2415,1,21813,116522,0.09967805844477465,8.581996687349279e-06,0.9995860927152318,0.09967805844477465,0.18127908722414052
-9421049433.656826,2467,1,21761,116522,0.10182433547961037,8.581996687349279e-06,0.9995948136142626,0.10182433547961037,0.18482169613425234
-9420965813.104818,2470,1,21758,116522,0.10194815915469704,8.581996687349279e-06,0.9995953055443141,0.10194815915469704,0.18502565639162513
-9143053201.0341,2471,1,21757,116522,0.10198943371305927,8.581996687349279e-06,0.9995954692556634,0.10198943371305927,0.1850936329588015
-9143053199.14159,2501,1,21727,116522,0.10322767046392603,8.581996687349279e-06,0.9996003197442046,0.10322767046392603,0.18713056490834268
-9143051784.50497,2507,1,21721,116522,0.10347531781409938,8.581996687349279e-06,0.9996012759170654,0.10347531781409938,0.18753740275284259
-9143048958.715706,2511,1,21717,116522,0.1036404160475483,8.581996687349279e-06,0.9996019108280255,0.1036404160475483,0.18780852655198207
-9143048957.79497,2513,1,21715,116522,0.10372296516427275,8.581996687349279e-06,0.9996022275258553,0.10372296516427275,0.1879440580360482
-9143047619.629765,2527,1,21701,116522,0.1043008089813439,8.581996687349279e-06,0.9996044303797469,0.1043008089813439,0.188892211092839
-9143047545.773638,2543,1,21685,116522,0.10496120191513951,8.581996687349279e-06,0.9996069182389937,0.10496120191513951,0.18997460032870161
-9143044718.393991,2550,1,21678,116522,0.10525012382367509,8.581996687349279e-06,0.999607996863975,0.10525012382367509,0.19044773889988426
-9142857144.24416,2559,1,21669,116522,0.10562159484893512,8.581996687349279e-06,0.999609375,0.10562159484893512,0.1910556965805585
-9142857143.857143,2644,1,21584,116522,0.10912993230972429,8.581996687349279e-06,0.9996219281663516,0.10912993230972429,0.19677743459978417
-9141003377.951283,2644,2,21584,116521,0.10912993230972429,1.7163993374698558e-05,0.999244142101285,0.10912993230972429,0.19677011237627445
-9139538369.75288,2649,2,21579,116521,0.10933630510153541,1.7163993374698558e-05,0.999245567710298,0.10933630510153541,0.19710554708136463
-9137803562.645864,2651,2,21577,116521,0.10941885421825986,1.7163993374698558e-05,0.9992461364493027,0.10941885421825986,0.19723968602358544
-9137755677.614359,2655,2,21573,116521,0.10958395245170877,1.7163993374698558e-05,0.9992472713586752,0.10958395245170877,0.19750790403570767
-9135978932.209293,2666,2,21562,116521,0.11003797259369325,1.7163993374698558e-05,0.9992503748125937,0.11003797259369325,0.19824509220701964
-9135839718.681482,2669,2,21559,116521,0.11016179626877992,1.7163993374698558e-05,0.9992512167727443,0.11016179626877992,0.19844603888620393
-9135406539.97431,2670,2,21558,116521,0.11020307082714215,1.7163993374698558e-05,0.999251497005988,0.11020307082714215,0.19851301115241635
-9135332663.589966,2671,2,21557,116521,0.11024434538550437,1.7163993374698558e-05,0.9992517770295548,0.11024434538550437,0.19857997843946318
-9135267321.962019,2676,2,21552,116521,0.1104507181773155,1.7163993374698558e-05,0.9992531740104555,0.1104507181773155,0.19891474020664535
-9135210556.992075,2680,2,21548,116521,0.1106158164107644,1.7163993374698558e-05,0.9992542878448919,0.1106158164107644,0.19918246005202528
-9135111386.440912,2685,2,21543,116521,0.11082218920257553,1.7163993374698558e-05,0.9992556754745069,0.11082218920257553,0.1995169979565298
-8857332719.919193,2698,2,21530,116521,0.11135875846128447,1.7163993374698558e-05,0.9992592592592593,0.11135875846128447,0.20038621509209745
-8857327237.599714,2700,2,21528,116521,0.11144130757800892,1.7163993374698558e-05,0.999259807549963,0.11144130757800892,0.2005198663200891
-8857325869.167654,2704,2,21524,116521,0.11160640581145782,1.7163993374698558e-05,0.9992609016999261,0.11160640581145782,0.20078710922996956
-8857010764.39597,2718,2,21510,116521,0.11218424962852898,1.7163993374698558e-05,0.9992647058823529,0.11218424962852898,0.20172183464450053
-8855314571.472748,2726,2,21502,116521,0.11251444609542678,1.7163993374698558e-05,0.999266862170088,0.11251444609542678,0.2022555275263392
-8853889773.21189,2734,2,21494,116521,0.11284464256232458,1.7163993374698558e-05,0.9992690058479532,0.11284464256232458,0.20278890372348315
-8853280804.942368,2740,2,21488,116521,0.11309228991249794,1.7163993374698558e-05,0.9992706053975201,0.11309228991249794,0.2031887282165369
-8853246918.78084,2742,2,21486,116521,0.11317483902922239,1.7163993374698558e-05,0.999271137026239,0.11317483902922239,0.20332196351772208
-8853224019.68364,2749,2,21479,116521,0.11346376093775797,1.7163993374698558e-05,0.9992729916394039,0.11346376093775797,0.20378813150969272
-8852846094.338648,2756,2,21472,116521,0.11375268284629354,1.7163993374698558e-05,0.9992748368382887,0.11375268284629354,0.20425405765952714
-8851558811.526241,2757,2,21471,116521,0.11379395740465577,1.7163993374698558e-05,0.9992750996737948,0.11379395740465577,0.20432059880683293
-8850408026.074125,2758,2,21470,116521,0.113835231963018,1.7163993374698558e-05,0.9992753623188406,0.113835231963018,0.20438713502297318
-8849688441.724428,2760,2,21468,116521,0.11391778107974244,1.7163993374698558e-05,0.999275887038378,0.11391778107974244,0.2045201926639496
-8571612303.584354,2770,2,21458,116521,0.1143305266633647,1.7163993374698558e-05,0.9992784992784993,0.1143305266633647,0.20518518518518516
-8571605607.353617,2779,2,21449,116521,0.11470199768862473,1.7163993374698558e-05,0.9992808342322905,0.11470199768862473,0.2057832574327076
-8571603030.865695,2803,2,21425,116521,0.11569258708931815,1.7163993374698558e-05,0.9992869875222816,0.11569258708931815,0.20737616986645951
-8571603028.36966,2806,2,21422,116521,0.11581641076440483,1.7163993374698558e-05,0.9992877492877493,0.11581641076440483,0.2075750850717562
-8571602962.824801,2821,2,21407,116521,0.1164355291398382,1.7163993374698558e-05,0.9992915338292596,0.1164355291398382,0.208568999297623
-8571600377.029804,2827,2,21401,116521,0.11668317649001156,1.7163993374698558e-05,0.999293036408625,0.11668317649001156,0.20896625642162842
-8571428615.707336,2850,2,21378,116521,0.11763249133234274,1.7163993374698558e-05,0.9992987377279102,0.11763249133234274,0.21048744460856722
-8571428572.428572,3213,2,21015,116521,0.1326151560178306,1.7163993374698558e-05,0.9993779160186625,0.1326151560178306,0.2341580730969646
-8565765703.043422,3213,4,21015,116519,0.1326151560178306,3.4327986749397115e-05,0.9987566055331054,0.1326151560178306,0.2341410092913099
-8286478240.334551,3214,4,21014,116519,0.13265643057619284,3.4327986749397115e-05,0.9987569919204475,0.13265643057619284,0.23420534868468995
-8286377165.633854,3217,4,21011,116519,0.1327802542512795,3.4327986749397115e-05,0.998758149642968,0.1327802542512795,0.23439833873729465
-8286366745.396582,3224,4,21004,116519,0.1330691761598151,3.4327986749397115e-05,0.9987608426270136,0.1330691761598151,0.23484848484848483
-8285933213.942189,3234,4,20994,116519,0.13348192174343734,3.4327986749397115e-05,0.9987646695491044,0.13348192174343734,0.235491152697881
-8285885361.531082,3241,4,20987,116519,0.13377084365197292,3.4327986749397115e-05,0.9987673343605546,0.13377084365197292,0.23594074181924068
-8285548918.872245,3255,4,20973,116519,0.13434868746904408,3.4327986749397115e-05,0.9987726296409942,0.13434868746904408,0.23683923309200713
-8285513539.828651,3262,4,20966,116519,0.13463760937757965,3.4327986749397115e-05,0.9987752602571953,0.13463760937757965,0.23728813559322032
-8284537140.037149,3269,4,20959,116519,0.13492653128611523,3.4327986749397115e-05,0.9987778796211427,0.13492653128611523,0.23773680957056104
-8282639307.071083,3271,4,20957,116519,0.13500908040283968,3.4327986749397115e-05,0.9987786259541984,0.13500908040283968,0.23786496018616152
-8279294948.030389,3288,4,20940,116519,0.1357107478949975,3.4327986749397115e-05,0.9987849331713244,0.1357107478949975,0.238953488372093
-8278656070.862366,3294,4,20934,116519,0.13595839524517087,3.4327986749397115e-05,0.9987871437234688,0.13595839524517087,0.23933735377461307
-8000165102.501901,3314,4,20914,116519,0.1367838864124154,3.4327986749397115e-05,0.9987944544906571,0.1367838864124154,0.2406156973789298
-8000035929.520173,3375,4,20853,116519,0.13930163447251115,3.4327986749397115e-05,0.9988162178159219,0.13930163447251115,0.24450320570869707
-8000000001.0,3388,4,20840,116519,0.13983820373122008,3.4327986749397115e-05,0.9988207547169812,0.13983820373122008,0.24532947139753805
-7999780666.933015,3388,5,20840,116518,0.13983820373122008,4.290998343674639e-05,0.9985263778367227,0.13983820373122008,0.2453205894066109
-7996031217.669036,3400,5,20828,116518,0.14033349843156678,4.290998343674639e-05,0.9985315712187959,0.14033349843156678,0.24608258241957082
-7996016607.6752825,3404,5,20824,116518,0.14049859666501568,4.290998343674639e-05,0.9985332942211792,0.14049859666501568,0.2463364330426602
-7995887598.004114,3405,5,20823,116518,0.1405398712233779,4.290998343674639e-05,0.998533724340176,0.1405398712233779,0.24639988421738188
-7995501706.256017,3406,5,20822,116518,0.14058114578174014,4.290998343674639e-05,0.9985341542069774,0.14058114578174014,0.2464633308006802
-7993738542.043377,3417,5,20811,116518,0.14103516592372461,4.290998343674639e-05,0.9985388661601403,0.14103516592372461,0.24716094032549726
-7714908425.511157,3422,5,20806,116518,0.14124153871553574,4.290998343674639e-05,0.9985409979573971,0.14124153871553574,0.2474778521063099
-7714903364.6664,3432,5,20796,116518,0.141654284299158,4.290998343674639e-05,0.9985452429444283,0.141654284299158,0.24811133200795227
-7714893188.291027,3433,5,20795,116518,0.14169555885752022,4.290998343674639e-05,0.9985456660849331,0.14169555885752022,0.2481746548109593
-7714885743.892285,3442,5,20786,116518,0.14206702988278025,4.290998343674639e-05,0.9985494633014216,0.14206702988278025,0.2487443541102078
-7714884394.484029,3457,5,20771,116518,0.14268614825821363,4.290998343674639e-05,0.9985557481224726,0.14268614825821363,0.2496930299747201
-7714607039.990331,3459,5,20769,116518,0.14276869737493808,4.290998343674639e-05,0.9985565819861432,0.14276869737493808,0.24981944243824927
-7714450955.2838125,3462,5,20766,116518,0.14289252105002476,4.290998343674639e-05,0.9985578309777906,0.14289252105002476,0.2500090269001624
-7714443680.7516,3487,5,20741,116518,0.1439243850090804,4.290998343674639e-05,0.9985681557846506,0.1439243850090804,0.2515873015873016
-7714442551.681524,3497,5,20731,116518,0.14433713059270264,4.290998343674639e-05,0.9985722444317533,0.14433713059270264,0.2522178146411828
-7714438972.027272,3503,5,20725,116518,0.14458477794287602,4.290998343674639e-05,0.9985746864310148,0.14458477794287602,0.25259590423997696
-7714437706.289028,3511,5,20717,116518,0.14491497440977383,4.290998343674639e-05,0.9985779294653014,0.14491497440977383,0.2530997693194925
-7714436518.8398485,3525,5,20703,116518,0.14549281822684498,4.290998343674639e-05,0.9985835694050992,0.14549281822684498,0.2539808343540601
-7714431745.2269335,3554,5,20674,116518,0.14668978041934952,4.290998343674639e-05,0.9985951109862321,0.14668978041934952,0.255803073379638
-7714375388.746308,3578,5,20650,116518,0.14768036982004293,4.290998343674639e-05,0.9986045213508233,0.14768036982004293,0.25730825932185103
-7714317991.664879,3578,6,20650,116517,0.14768036982004293,5.149198012409567e-05,0.9983258928571429,0.14768036982004293,0.25729900762260893
-7714285718.244474,3579,6,20649,116517,0.14772164437840515,5.149198012409567e-05,0.998326359832636,0.14772164437840515,0.25736166540826233
-7714285715.314554,3649,6,20579,116517,0.15061086346376093,5.149198012409567e-05,0.9983584131326949,0.15061086346376093,0.2617365419789836
-7710402583.346844,3649,9,20579,116514,0.15061086346376093,7.72379701861435e-05,0.9975396391470749,0.15061086346376093,0.2617083841354084
-7710361021.818305,3655,9,20573,116514,0.15085851081393428,7.72379701861435e-05,0.9975436681222707,0.15085851081393428,0.26208231751039723
-7429163828.258437,3665,9,20563,116514,0.15127125639755654,7.72379701861435e-05,0.997550353837779,0.15127125639755654,0.262705182424199
-7429157831.868465,3671,9,20557,116514,0.1515189037477299,7.72379701861435e-05,0.997554347826087,0.1515189037477299,0.26307868711480575
-7428708604.529219,3679,9,20549,116514,0.1518491002146277,7.72379701861435e-05,0.9975596529284165,0.1518491002146277,0.26357644361656396
-7428571430.731436,3695,9,20533,116514,0.15250949314842333,7.72379701861435e-05,0.9975701943844493,0.15250949314842333,0.26457110124588284
-7425788402.288177,3805,9,20423,116514,0.15704969456826812,7.72379701861435e-05,0.9976402726796014,0.15704969456826812,0.2713786463162399
-7425756539.675394,3830,9,20398,116514,0.15808155852732375,7.72379701861435e-05,0.9976556394894504,0.15808155852732375,0.2729183738910464
-7425606531.534201,3835,9,20393,116514,0.15828793131913488,7.72379701861435e-05,0.9976586888657648,0.15828793131913488,0.27322599031062983
-7425535483.962514,3837,9,20391,116514,0.15837048043585933,7.72379701861435e-05,0.9976599063962559,0.15837048043585933,0.27334900619790553
-7425485129.029413,3840,9,20388,116514,0.158494304110946,7.72379701861435e-05,0.9976617303195635,0.158494304110946,0.2735334971685009
-7423570861.608784,3842,9,20386,116514,0.15857685322767046,7.72379701861435e-05,0.997662944689691,0.15857685322767046,0.2736564692474803
-7143382417.61841,3843,9,20385,116514,0.15861812778603268,7.72379701861435e-05,0.9976635514018691,0.15861812778603268,0.2737179487179487
