threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-3.083599819754456,0,0,5,41,0.0,0.0,0.0,0.0,0.0
-2.0856509420396256,0,1,5,40,0.0,0.024390243902439025,0.0,0.0,0.0
-1.9268423833818848,0,2,5,39,0.0,0.04878048780487805,0.0,0.0,0.0
-1.9052339465366694,1,2,4,39,0.2,0.04878048780487805,0.3333333333333333,0.2,0.25
-1.8982122946848332,1,3,4,38,0.2,0.07317073170731707,0.25,0.2,0.22222222222222224
-1.8794949038885571,2,3,3,38,0.4,0.07317073170731707,0.4,0.4,0.4000000000000001
-1.8119612471519826,2,4,3,37,0.4,0.0975609756097561,0.3333333333333333,0.4,0.3636363636363636
-1.6347941743396097,3,4,2,37,0.6,0.0975609756097561,0.42857142857142855,0.6,0.5
-1.6346275251791855,3,5,2,36,0.6,0.12195121951219512,0.375,0.6,0.4615384615384615
-1.5452598405431095,3,6,2,35,0.6,0.14634146341463414,0.3333333333333333,0.6,0.42857142857142855
-1.5347066480528324,3,7,2,34,0.6,0.17073170731707318,0.3,0.6,0.4
-1.5269437447194332,3,8,2,33,0.6,0.1951219512195122,0.2727272727272727,0.6,0.37499999999999994
-1.5191942804695708,3,9,2,32,0.6,0.21951219512195122,0.25,0.6,0.35294117647058826
-1.5010514828714672,3,10,2,31,0.6,0.24390243902439024,0.23076923076923078,0.6,0.33333333333333337
-1.4868673562506876,3,11,2,30,0.6,0.2682926829268293,0.21428571428571427,0.6,0.3157894736842105
-1.4721498199723007,4,11,1,30,0.8,0.2682926829268293,0.26666666666666666,0.8,0.4
-1.4667951131677637,4,12,1,29,0.8,0.2926829268292683,0.25,0.8,0.38095238095238093
-1.4623487061033646,4,13,1,28,0.8,0.3170731707317073,0.23529411764705882,0.8,0.3636363636363636
-1.4178317479443847,4,14,1,27,0.8,0.34146341463414637,0.2222222222222222,0.8,0.3478260869565218
-1.3775395554477279,4,15,1,26,0.8,0.36585365853658536,0.21052631578947367,0.8,0.3333333333333333
-1.3690796904576463,5,15,0,26,1.0,0.36585365853658536,0.25,1.0,0.4
-1.3645391808196679,5,16,0,25,1.0,0.3902439024390244,0.23809523809523808,1.0,0.3846153846153846
-1.3481103614867718,5,17,0,24,1.0,0.4146341463414634,0.22727272727272727,1.0,0.37037037037037035
-1.2213718909416025,5,18,0,23,1.0,0.43902439024390244,0.21739130434782608,1.0,0.3571428571428571
-1.210564659574311,5,19,0,22,1.0,0.4634146341463415,0.20833333333333334,1.0,0.3448275862068966
-1.202283257906252,5,20,0,21,1.0,0.4878048780487805,0.2,1.0,0.33333333333333337
-1.1451315903914154,5,21,0,20,1.0,0.5121951219512195,0.19230769230769232,1.0,0.32258064516129037
-1.0869414849096946,5,22,0,19,1.0,0.5365853658536586,0.18518518518518517,1.0,0.3125
-1.069109086139213,5,23,0,18,1.0,0.5609756097560976,0.17857142857142858,1.0,0.30303030303030304
-1.0525342820479142,5,24,0,17,1.0,0.5853658536585366,0.1724137931034483,1.0,0.29411764705882354
-1.0466762351824999,5,25,0,16,1.0,0.6097560975609756,0.16666666666666666,1.0,0.2857142857142857
-1.0416585513013858,5,26,0,15,1.0,0.6341463414634146,0.16129032258064516,1.0,0.27777777777777773
-1.0396270982880118,5,27,0,14,1.0,0.6585365853658537,0.15625,1.0,0.2702702702702703
-1.0265728264926044,5,28,0,13,1.0,0.6829268292682927,0.15151515151515152,1.0,0.2631578947368421
-1.0207603614166119,5,29,0,12,1.0,0.7073170731707317,0.14705882352941177,1.0,0.25641025641025644
-1.0197999408707694,5,30,0,11,1.0,0.7317073170731707,0.14285714285714285,1.0,0.25
-1.010854738648846,5,31,0,10,1.0,0.7560975609756098,0.1388888888888889,1.0,0.24390243902439027
-0.9987887900094778,5,32,0,9,1.0,0.7804878048780488,0.13513513513513514,1.0,0.2380952380952381
-0.9986887799350906,5,33,0,8,1.0,0.8048780487804879,0.13157894736842105,1.0,0.23255813953488372
-0.9946273009876551,5,34,0,7,1.0,0.8292682926829268,0.1282051282051282,1.0,0.22727272727272727
-0.9870566532515822,5,35,0,6,1.0,0.8536585365853658,0.125,1.0,0.2222222222222222
-0.985476734886977,5,36,0,5,1.0,0.8780487804878049,0.12195121951219512,1.0,0.21739130434782605
-0.9741981336949016,5,37,0,4,1.0,0.9024390243902439,0.11904761904761904,1.0,0.21276595744680848
-0.9701689723093704,5,38,0,3,1.0,0.926829268292683,0.11627906976744186,1.0,0.20833333333333334
-0.9692475533714758,5,39,0,2,1.0,0.9512195121951219,0.11363636363636363,1.0,0.20408163265306123
-0.9580538230985098,5,40,0,1,1.0,0.975609756097561,0.1111111111111111,1.0,0.19999999999999998
