threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-2.8663868501074767,0,0,3,28,0.0,0.0,0.0,0.0,0.0
-2.277558027125121,1,0,2,28,0.3333333333333333,0.0,1.0,0.3333333333333333,0.5
-2.0720014411707703,2,0,1,28,0.6666666666666666,0.0,1.0,0.6666666666666666,0.8
-1.5365626790957463,3,0,0,28,1.0,0.0,1.0,1.0,1.0
-1.4596463329478853,3,1,0,27,1.0,0.03571428571428571,0.75,1.0,0.8571428571428571
-1.3552451543906316,3,2,0,26,1.0,0.07142857142857142,0.6,1.0,0.7499999999999999
-1.3451640147892248,3,3,0,25,1.0,0.10714285714285714,0.5,1.0,0.6666666666666666
-1.2780565983332484,3,4,0,24,1.0,0.14285714285714285,0.42857142857142855,1.0,0.6
-1.2306874223739324,3,5,0,23,1.0,0.17857142857142858,0.375,1.0,0.5454545454545454
-1.2237210689429703,3,6,0,22,1.0,0.21428571428571427,0.3333333333333333,1.0,0.5
-1.1428773722244483,3,7,0,21,1.0,0.25,0.3,1.0,0.4615384615384615
-1.1270230841056377,3,8,0,20,1.0,0.2857142857142857,0.2727272727272727,1.0,0.42857142857142855
-1.0965430698914045,3,9,0,19,1.0,0.32142857142857145,0.25,1.0,0.4
-1.069420947876449,3,10,0,18,1.0,0.35714285714285715,0.23076923076923078,1.0,0.375
-1.0566977036651255,3,11,0,17,1.0,0.39285714285714285,0.21428571428571427,1.0,0.35294117647058826
-1.0317290864454138,3,12,0,16,1.0,0.42857142857142855,0.2,1.0,0.33333333333333337
-1.027336045384243,3,13,0,15,1.0,0.4642857142857143,0.1875,1.0,0.3157894736842105
-1.0164778525473719,3,14,0,14,1.0,0.5,0.17647058823529413,1.0,0.3
-1.0115034035900683,3,15,0,13,1.0,0.5357142857142857,0.16666666666666666,1.0,0.2857142857142857
-1.0018008233886786,3,16,0,12,1.0,0.5714285714285714,0.15789473684210525,1.0,0.2727272727272727
-0.9943562198395213,3,17,0,11,1.0,0.6071428571428571,0.15,1.0,0.2608695652173913
-0.9912642792591925,3,18,0,10,1.0,0.6428571428571429,0.14285714285714285,1.0,0.25
-0.9907646019602644,3,19,0,9,1.0,0.6785714285714286,0.13636363636363635,1.0,0.24000000000000002
-0.9886703655451975,3,20,0,8,1.0,0.7142857142857143,0.13043478260869565,1.0,0.23076923076923078
-0.9873399903621074,3,21,0,7,1.0,0.75,0.125,1.0,0.2222222222222222
-0.9830679064433434,3,22,0,6,1.0,0.7857142857142857,0.12,1.0,0.21428571428571425
-0.9810693869375857,3,23,0,5,1.0,0.8214285714285714,0.11538461538461539,1.0,0.20689655172413793
-0.9807425837179474,3,24,0,4,1.0,0.8571428571428571,0.1111111111111111,1.0,0.19999999999999998
-0.9806891082588262,3,25,0,3,1.0,0.8928571428571429,0.10714285714285714,1.0,0.19354838709677416
-0.978658900199627,3,26,0,2,1.0,0.9285714285714286,0.10344827586206896,1.0,0.1875
-0.9686767950161831,3,27,0,1,1.0,0.9642857142857143,0.1,1.0,0.18181818181818182
