threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-6.910377168777112,0,0,4414,2466,0.0,0.0,0.0,0.0,0.0
-6.488543826416075,1,0,4413,2466,0.00022655188038060717,0.0,1.0,0.00022655188038060717,0.00045300113250283127
-5.74455935952926,2,0,4412,2466,0.00045310376076121433,0.0,1.0,0.00045310376076121433,0.0009057971014492755
-5.643912232119003,3,0,4411,2466,0.0006796556411418215,0.0,1.0,0.0006796556411418215,0.0013583880461851936
-5.614956390534538,4,0,4410,2466,0.0009062075215224287,0.0,1.0,0.0009062075215224287,0.0018107741059302852
-5.589514237591741,5,0,4409,2466,0.0011327594019030357,0.0,1.0,0.0011327594019030357,0.00226295541977823
-5.549410765094588,6,0,4408,2466,0.001359311282283643,0.0,1.0,0.001359311282283643,0.002714932126696833
-5.529975770959409,7,0,4407,2466,0.0015858631626642502,0.0,1.0,0.0015858631626642502,0.0031667043655281613
-5.400829580916772,8,0,4406,2466,0.0018124150430448573,0.0,1.0,0.0018124150430448573,0.0036182722749886925
-5.341482302192361,9,0,4405,2466,0.0020389669234254643,0.0,1.0,0.0020389669234254643,0.004069635993669454
-5.2818863172848864,10,0,4404,2466,0.0022655188038060714,0.0,1.0,0.0022655188038060714,0.004520795660036166
-5.257887131282842,11,0,4403,2466,0.0024920706841866785,0.0,1.0,0.0024920706841866785,0.004971751412429378
-5.225822452937935,12,0,4402,2466,0.002718622564567286,0.0,1.0,0.002718622564567286,0.005422503389064619
-5.215395393146065,13,0,4401,2466,0.0029451744449478933,0.0,1.0,0.0029451744449478933,0.005873051728032529
-5.086275861257651,14,0,4400,2466,0.0031717263253285004,0.0,1.0,0.0031717263253285004,0.006323396567299006
-5.074488848748718,15,0,4399,2466,0.0033982782057091075,0.0,1.0,0.0033982782057091075,0.006773538044705351
-5.053325713859012,16,0,4398,2466,0.0036248300860897147,0.0,1.0,0.0036248300860897147,0.007223476297968398
-4.975450179748476,17,0,4397,2466,0.003851381966470322,0.0,1.0,0.003851381966470322,0.0076732114646806595
-4.911273029144834,18,0,4396,2466,0.0040779338468509285,0.0,1.0,0.0040779338468509285,0.008122743682310469
-4.887849573385916,19,0,4395,2466,0.004304485727231536,0.0,1.0,0.004304485727231536,0.008572073088202119
