threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-13.883862179673246,0,0,352,1333,0.0,0.0,0.0,0.0,0.0
-12.08536005371848,1,0,351,1333,0.002840909090909091,0.0,1.0,0.002840909090909091,0.005665722379603399
-11.568474257410584,2,0,350,1333,0.005681818181818182,0.0,1.0,0.005681818181818182,0.01129943502824859
-10.814878960481284,3,0,349,1333,0.008522727272727272,0.0,1.0,0.008522727272727272,0.016901408450704224
-10.319066737599995,4,0,348,1333,0.011363636363636364,0.0,1.0,0.011363636363636364,0.02247191011235955
-6.797745371245414,5,0,347,1333,0.014204545454545454,0.0,1.0,0.014204545454545454,0.028011204481792718
-6.3822734217765404,6,0,346,1333,0.017045454545454544,0.0,1.0,0.017045454545454544,0.0335195530726257
-6.26625547814719,6,1,346,1332,0.017045454545454544,0.0007501875468867217,0.8571428571428571,0.017045454545454544,0.03342618384401114
-5.853097943133739,7,1,345,1332,0.019886363636363636,0.0007501875468867217,0.875,0.019886363636363636,0.03888888888888888
-5.250493052350136,8,1,344,1332,0.022727272727272728,0.0007501875468867217,0.8888888888888888,0.022727272727272728,0.0443213296398892
-5.100795191494112,9,1,343,1332,0.02556818181818182,0.0007501875468867217,0.9,0.02556818181818182,0.04972375690607735
-5.049817271500856,10,1,342,1332,0.028409090909090908,0.0007501875468867217,0.9090909090909091,0.028409090909090908,0.055096418732782364
-4.748219047635457,11,1,341,1332,0.03125,0.0007501875468867217,0.9166666666666666,0.03125,0.06043956043956044
-4.707694994322596,12,1,340,1332,0.03409090909090909,0.0007501875468867217,0.9230769230769231,0.03409090909090909,0.06575342465753424
-4.7045518732593905,13,1,339,1332,0.036931818181818184,0.0007501875468867217,0.9285714285714286,0.036931818181818184,0.07103825136612023
-4.702965937202243,14,1,338,1332,0.03977272727272727,0.0007501875468867217,0.9333333333333333,0.03977272727272727,0.07629427792915532
-4.387019410576801,15,1,337,1332,0.04261363636363636,0.0007501875468867217,0.9375,0.04261363636363636,0.08152173913043478
-4.35609357753999,16,1,336,1332,0.045454545454545456,0.0007501875468867217,0.9411764705882353,0.045454545454545456,0.08672086720867209
-4.232687501398774,17,1,335,1332,0.048295454545454544,0.0007501875468867217,0.9444444444444444,0.048295454545454544,0.09189189189189188
-4.2128208214505065,18,1,334,1332,0.05113636363636364,0.0007501875468867217,0.9473684210526315,0.05113636363636364,0.09703504043126686
-4.173556449186099,19,1,333,1332,0.05397727272727273,0.0007501875468867217,0.95,0.05397727272727273,0.10215053763440861
-4.055338978277725,20,1,332,1332,0.056818181818181816,0.0007501875468867217,0.9523809523809523,0.056818181818181816,0.10723860589812331
-4.051823654539148,21,1,331,1332,0.05965909090909091,0.0007501875468867217,0.9545454545454546,0.05965909090909091,0.11229946524064173
-3.8896558644628385,22,1,330,1332,0.0625,0.0007501875468867217,0.9565217391304348,0.0625,0.11733333333333333
-3.825337270464703,23,1,329,1332,0.06534090909090909,0.0007501875468867217,0.9583333333333334,0.06534090909090909,0.1223404255319149
-3.8037937006833107,24,1,328,1332,0.06818181818181818,0.0007501875468867217,0.96,0.06818181818181818,0.1273209549071618
-3.7981061119421886,25,1,327,1332,0.07102272727272728,0.0007501875468867217,0.9615384615384616,0.07102272727272728,0.1322751322751323
-3.7714011556878333,25,2,327,1331,0.07102272727272728,0.0015003750937734434,0.9259259259259259,0.07102272727272728,0.1319261213720317
-3.747075337323714,26,2,326,1331,0.07386363636363637,0.0015003750937734434,0.9285714285714286,0.07386363636363637,0.1368421052631579
-3.5818099037633715,27,2,325,1331,0.07670454545454546,0.0015003750937734434,0.9310344827586207,0.07670454545454546,0.1417322834645669
-3.53968729745054,28,2,324,1331,0.07954545454545454,0.0015003750937734434,0.9333333333333333,0.07954545454545454,0.14659685863874347
-3.4955097962475423,29,2,323,1331,0.08238636363636363,0.0015003750937734434,0.9354838709677419,0.08238636363636363,0.15143603133159267
-3.4819266184124724,30,2,322,1331,0.08522727272727272,0.0015003750937734434,0.9375,0.08522727272727272,0.15625
-3.472813694425449,31,2,321,1331,0.08806818181818182,0.0015003750937734434,0.9393939393939394,0.08806818181818182,0.16103896103896104
-3.4417941986207277,32,2,320,1331,0.09090909090909091,0.0015003750937734434,0.9411764705882353,0.09090909090909091,0.16580310880829016
-3.3503327045224114,33,2,319,1331,0.09375,0.0015003750937734434,0.9428571428571428,0.09375,0.17054263565891473
