threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-14157.334373316851,0,0,324,56863,0.0,0.0,0.0,0.0,0.0
-14094.80142216459,1,0,323,56863,0.0030864197530864196,0.0,1.0,0.0030864197530864196,0.006153846153846154
-13565.993521855587,2,0,322,56863,0.006172839506172839,0.0,1.0,0.006172839506172839,0.012269938650306747
-13536.378681680524,3,0,321,56863,0.009259259259259259,0.0,1.0,0.009259259259259259,0.018348623853211007
-13422.037995427163,4,0,320,56863,0.012345679012345678,0.0,1.0,0.012345679012345678,0.024390243902439022
-13362.45935504889,5,0,319,56863,0.015432098765432098,0.0,1.0,0.015432098765432098,0.0303951367781155
-13350.69434799621,6,0,318,56863,0.018518518518518517,0.0,1.0,0.018518518518518517,0.03636363636363636
-13303.76129793451,7,0,317,56863,0.021604938271604937,0.0,1.0,0.021604938271604937,0.042296072507552865
-13253.7400244565,8,0,316,56863,0.024691358024691357,0.0,1.0,0.024691358024691357,0.048192771084337345
-13212.38173823927,9,0,315,56863,0.027777777777777776,0.0,1.0,0.027777777777777776,0.05405405405405406
-13125.580536214326,10,0,314,56863,0.030864197530864196,0.0,1.0,0.030864197530864196,0.059880239520958084
-13082.18211985828,11,0,313,56863,0.033950617283950615,0.0,1.0,0.033950617283950615,0.06567164179104477
-13076.581005783983,12,0,312,56863,0.037037037037037035,0.0,1.0,0.037037037037037035,0.07142857142857142
-13052.115450496503,13,0,311,56863,0.040123456790123455,0.0,1.0,0.040123456790123455,0.0771513353115727
-13000.080284752388,14,0,310,56863,0.043209876543209874,0.0,1.0,0.043209876543209874,0.08284023668639053
-12910.471706183605,15,0,309,56863,0.046296296296296294,0.0,1.0,0.046296296296296294,0.08849557522123894
-12880.02788114591,16,0,308,56863,0.04938271604938271,0.0,1.0,0.04938271604938271,0.09411764705882353
-12877.074880244578,17,0,307,56863,0.05246913580246913,0.0,1.0,0.05246913580246913,0.09970674486803519
-12837.22554439649,19,0,305,56863,0.05864197530864197,0.0,1.0,0.05864197530864197,0.1107871720116618
-12739.14907209975,21,0,303,56863,0.06481481481481481,0.0,1.0,0.06481481481481481,0.1217391304347826
-12706.466522628525,22,0,302,56863,0.06790123456790123,0.0,1.0,0.06790123456790123,0.12716763005780346
-12693.25485736415,23,0,301,56863,0.07098765432098765,0.0,1.0,0.07098765432098765,0.13256484149855907
-12648.366348779311,24,0,300,56863,0.07407407407407407,0.0,1.0,0.07407407407407407,0.13793103448275862
-12632.980995976988,25,0,299,56863,0.07716049382716049,0.0,1.0,0.07716049382716049,0.14326647564469916
