threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-89.64055122607056,0,0,4414,2466,0.0,0.0,0.0,0.0,0.0
-89.64055027807223,1,0,4413,2466,0.00022655188038060717,0.0,1.0,0.00022655188038060717,0.00045300113250283127
-89.64054705089818,2,0,4412,2466,0.00045310376076121433,0.0,1.0,0.00045310376076121433,0.0009057971014492755
-89.64054540901522,3,0,4411,2466,0.0006796556411418215,0.0,1.0,0.0006796556411418215,0.0013583880461851936
-89.64054080423041,4,0,4410,2466,0.0009062075215224287,0.0,1.0,0.0009062075215224287,0.0018107741059302852
-89.64053166738441,5,0,4409,2466,0.0011327594019030357,0.0,1.0,0.0011327594019030357,0.00226295541977823
-89.64052716254912,6,0,4408,2466,0.001359311282283643,0.0,1.0,0.001359311282283643,0.002714932126696833
-89.64052595919549,7,0,4407,2466,0.0015858631626642502,0.0,1.0,0.0015858631626642502,0.0031667043655281613
-89.64052395113092,8,0,4406,2466,0.0018124150430448573,0.0,1.0,0.0018124150430448573,0.0036182722749886925
-89.64051907610187,9,0,4405,2466,0.0020389669234254643,0.0,1.0,0.0020389669234254643,0.004069635993669454
-89.64048668139819,10,0,4404,2466,0.0022655188038060714,0.0,1.0,0.0022655188038060714,0.004520795660036166
-89.64038675710802,11,0,4403,2466,0.0024920706841866785,0.0,1.0,0.0024920706841866785,0.004971751412429378
-89.64037456370293,12,0,4402,2466,0.002718622564567286,0.0,1.0,0.002718622564567286,0.005422503389064619
-89.6403733248511,13,0,4401,2466,0.0029451744449478933,0.0,1.0,0.0029451744449478933,0.005873051728032529
-89.64036387670919,14,0,4400,2466,0.0031717263253285004,0.0,1.0,0.0031717263253285004,0.006323396567299006
-89.64034960141448,15,0,4399,2466,0.0033982782057091075,0.0,1.0,0.0033982782057091075,0.006773538044705351
-89.64034834691547,16,0,4398,2466,0.0036248300860897147,0.0,1.0,0.0036248300860897147,0.007223476297968398
-89.64033402509126,17,0,4397,2466,0.003851381966470322,0.0,1.0,0.003851381966470322,0.0076732114646806595
-89.64024970999284,18,0,4396,2466,0.0040779338468509285,0.0,1.0,0.0040779338468509285,0.008122743682310469
-89.64018510582956,19,0,4395,2466,0.004304485727231536,0.0,1.0,0.004304485727231536,0.008572073088202119
-89.64006162447009,20,0,4394,2466,0.004531037607612143,0.0,1.0,0.004531037607612143,0.009021199819576003
-89.63983779397519,21,0,4393,2466,0.00475758948799275,0.0,1.0,0.00475758948799275,0.009470124013528747
-89.63979565862395,22,0,4392,2466,0.004984141368373357,0.0,1.0,0.004984141368373357,0.009918845807033363
