threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-43480.04108413439,0,0,1813,56660,0.0,0.0,0.0,0.0,0.0
-27101.832913670005,0,1,1813,56659,0.0,1.7649135192375574e-05,0.0,0.0,0.0
-25524.22827777588,0,2,1813,56658,0.0,3.529827038475115e-05,0.0,0.0,0.0
-24561.483572656085,0,3,1813,56657,0.0,5.294740557712672e-05,0.0,0.0,0.0
-24082.66375930637,0,4,1813,56656,0.0,7.05965407695023e-05,0.0,0.0,0.0
-21221.724957586674,0,5,1813,56655,0.0,8.824567596187787e-05,0.0,0.0,0.0
-16538.904648026288,0,6,1813,56654,0.0,0.00010589481115425344,0.0,0.0,0.0
-14432.499083322486,0,7,1813,56653,0.0,0.000123543946346629,0.0,0.0,0.0
-14367.225389860343,0,8,1813,56652,0.0,0.0001411930815390046,0.0,0.0,0.0
-8478.407233582348,0,9,1813,56651,0.0,0.00015884221673138015,0.0,0.0,0.0
-8325.028368025352,0,10,1813,56650,0.0,0.00017649135192375574,0.0,0.0,0.0
-7719.805059253663,0,11,1813,56649,0.0,0.00019414048711613132,0.0,0.0,0.0
-7601.252124101765,0,12,1813,56648,0.0,0.00021178962230850688,0.0,0.0,0.0
-6724.775657962011,0,13,1813,56647,0.0,0.00022943875750088246,0.0,0.0,0.0
-6376.429538370779,0,14,1813,56646,0.0,0.000247087892693258,0.0,0.0,0.0
-5134.831267344259,0,15,1813,56645,0.0,0.0002647370278856336,0.0,0.0,0.0
-5087.548091015855,0,16,1813,56644,0.0,0.0002823861630780092,0.0,0.0,0.0
-4551.814447882888,0,17,1813,56643,0.0,0.0003000352982703848,0.0,0.0,0.0
-3786.761807460193,1,17,1812,56643,0.0005515719801434088,0.0003000352982703848,0.05555555555555555,0.0005515719801434088,0.0010922992900054616
-3743.221560322911,1,18,1812,56642,0.0005515719801434088,0.0003176844334627603,0.05263157894736842,0.0005515719801434088,0.001091703056768559
-3714.6090464655,1,19,1812,56641,0.0005515719801434088,0.0003353335686551359,0.05,0.0005515719801434088,0.0010911074740861976
-3682.209824872397,1,20,1812,56640,0.0005515719801434088,0.00035298270384751147,0.047619047619047616,0.0005515719801434088,0.0010905125408942203
