threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-1753.1047598745238,0,0,242,319,0.0,0.0,0.0,0.0,0.0
-1577.4143438503245,0,1,242,318,0.0,0.003134796238244514,0.0,0.0,0.0
-1576.7760256706608,1,1,241,318,0.004132231404958678,0.003134796238244514,0.5,0.004132231404958678,0.00819672131147541
-1565.1386174912543,2,1,240,318,0.008264462809917356,0.003134796238244514,0.6666666666666666,0.008264462809917356,0.0163265306122449
-1509.7634609417175,3,1,239,318,0.012396694214876033,0.003134796238244514,0.75,0.012396694214876033,0.024390243902439025
-1368.8800173404609,4,1,238,318,0.01652892561983471,0.003134796238244514,0.8,0.01652892561983471,0.03238866396761134
-1354.2715161480144,5,1,237,318,0.02066115702479339,0.003134796238244514,0.8333333333333334,0.02066115702479339,0.04032258064516129
-1287.1156865860269,5,2,237,317,0.02066115702479339,0.006269592476489028,0.7142857142857143,0.02066115702479339,0.040160642570281124
-1261.40468218827,6,2,236,317,0.024793388429752067,0.006269592476489028,0.75,0.024793388429752067,0.048
-1237.1346898212985,7,2,235,317,0.028925619834710745,0.006269592476489028,0.7777777777777778,0.028925619834710745,0.055776892430278883
-1195.368129858525,7,3,235,316,0.028925619834710745,0.009404388714733543,0.7,0.028925619834710745,0.05555555555555555
-1176.9629020561563,7,4,235,315,0.028925619834710745,0.012539184952978056,0.6363636363636364,0.028925619834710745,0.05533596837944664
-1162.395343860211,7,5,235,314,0.028925619834710745,0.01567398119122257,0.5833333333333334,0.028925619834710745,0.05511811023622047
-1146.5993883027434,8,5,234,314,0.03305785123966942,0.01567398119122257,0.6153846153846154,0.03305785123966942,0.06274509803921569
-1116.593885784452,9,5,233,314,0.0371900826446281,0.01567398119122257,0.6428571428571429,0.0371900826446281,0.0703125
-1074.6885896912584,9,6,233,313,0.0371900826446281,0.018808777429467086,0.6,0.0371900826446281,0.07003891050583658
-1055.0736316897887,10,6,232,313,0.04132231404958678,0.018808777429467086,0.625,0.04132231404958678,0.07751937984496124
-1048.6664014905475,11,6,231,313,0.045454545454545456,0.018808777429467086,0.6470588235294118,0.045454545454545456,0.08494208494208495
-993.268452703936,11,7,231,312,0.045454545454545456,0.0219435736677116,0.6111111111111112,0.045454545454545456,0.08461538461538462
-936.9013326395072,12,7,230,312,0.049586776859504134,0.0219435736677116,0.631578947368421,0.049586776859504134,0.09195402298850575
-921.83339289895,13,7,229,312,0.05371900826446281,0.0219435736677116,0.65,0.05371900826446281,0.09923664122137403
-919.4694716536342,14,7,228,312,0.05785123966942149,0.0219435736677116,0.6666666666666666,0.05785123966942149,0.1064638783269962
-858.1268582040805,14,8,228,311,0.05785123966942149,0.025078369905956112,0.6363636363636364,0.05785123966942149,0.10606060606060605
-827.9544382948893,14,9,228,310,0.05785123966942149,0.02821316614420063,0.6086956521739131,0.05785123966942149,0.10566037735849057
-808.8196961046369,15,9,227,310,0.06198347107438017,0.02821316614420063,0.625,0.06198347107438017,0.11278195488721805
-805.9206065785731,15,10,227,309,0.06198347107438017,0.03134796238244514,0.6,0.06198347107438017,0.11235955056179776
-801.5360432719938,15,11,227,308,0.06198347107438017,0.034482758620689655,0.5769230769230769,0.06198347107438017,0.11194029850746268
-800.5907292263983,16,11,226,308,0.06611570247933884,0.034482758620689655,0.5925925925925926,0.06611570247933884,0.11895910780669146
-770.6680912400693,16,12,226,307,0.06611570247933884,0.03761755485893417,0.5714285714285714,0.06611570247933884,0.11851851851851852
-750.425577374534,17,12,225,307,0.07024793388429752,0.03761755485893417,0.5862068965517241,0.07024793388429752,0.12546125461254612
-729.9327162521602,18,12,224,307,0.0743801652892562,0.03761755485893417,0.6,0.0743801652892562,0.1323529411764706
-705.5084640405935,19,12,223,307,0.07851239669421488,0.03761755485893417,0.6129032258064516,0.07851239669421488,0.1391941391941392
-703.6694027699514,19,13,223,306,0.07851239669421488,0.04075235109717868,0.59375,0.07851239669421488,0.1386861313868613
-689.9897258278424,20,13,222,306,0.08264462809917356,0.04075235109717868,0.6060606060606061,0.08264462809917356,0.14545454545454545
-687.0455251441308,21,13,221,306,0.08677685950413223,0.04075235109717868,0.6176470588235294,0.08677685950413223,0.15217391304347824
-660.1112551002122,22,13,220,306,0.09090909090909091,0.04075235109717868,0.6285714285714286,0.09090909090909091,0.15884476534296027
