threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-334208.11261843384,0,0,64,593,0.0,0.0,0.0,0.0,0.0
-333301.96940703876,1,0,63,593,0.015625,0.0,1.0,0.015625,0.03076923076923077
-326581.338729776,2,0,62,593,0.03125,0.0,1.0,0.03125,0.06060606060606061
-325148.06310486177,3,0,61,593,0.046875,0.0,1.0,0.046875,0.08955223880597014
-325049.4975085066,4,0,60,593,0.0625,0.0,1.0,0.0625,0.11764705882352941
-322059.8791422155,5,0,59,593,0.078125,0.0,1.0,0.078125,0.14492753623188406
-321145.9187795827,6,0,58,593,0.09375,0.0,1.0,0.09375,0.17142857142857143
-315838.04263720714,7,0,57,593,0.109375,0.0,1.0,0.109375,0.19718309859154928
-283921.8569883525,8,0,56,593,0.125,0.0,1.0,0.125,0.2222222222222222
-279859.07693493855,9,0,55,593,0.140625,0.0,1.0,0.140625,0.2465753424657534
-279673.60884126154,10,0,54,593,0.15625,0.0,1.0,0.15625,0.2702702702702703
-101590.12232523854,11,0,53,593,0.171875,0.0,1.0,0.171875,0.29333333333333333
-95578.19116245271,12,0,52,593,0.1875,0.0,1.0,0.1875,0.3157894736842105
-94568.62442697387,13,0,51,593,0.203125,0.0,1.0,0.203125,0.33766233766233766
-91761.96856044664,14,0,50,593,0.21875,0.0,1.0,0.21875,0.358974358974359
-91260.08115397432,15,0,49,593,0.234375,0.0,1.0,0.234375,0.379746835443038
-91134.06943246016,16,0,48,593,0.25,0.0,1.0,0.25,0.4
-89837.24062649997,17,0,47,593,0.265625,0.0,1.0,0.265625,0.41975308641975306
-89438.02348285854,18,0,46,593,0.28125,0.0,1.0,0.28125,0.43902439024390244
-89398.834987856,19,0,45,593,0.296875,0.0,1.0,0.296875,0.4578313253012048
-89039.35498903207,20,0,44,593,0.3125,0.0,1.0,0.3125,0.47619047619047616
-88733.6603329146,21,0,43,593,0.328125,0.0,1.0,0.328125,0.49411764705882355
-83247.80132095193,22,0,42,593,0.34375,0.0,1.0,0.34375,0.5116279069767442
-82554.89669410443,23,0,41,593,0.359375,0.0,1.0,0.359375,0.5287356321839081
-69849.33889638516,24,0,40,593,0.375,0.0,1.0,0.375,0.5454545454545454
-69786.426169406,25,0,39,593,0.390625,0.0,1.0,0.390625,0.5617977528089888
-63894.50716971202,26,0,38,593,0.40625,0.0,1.0,0.40625,0.5777777777777777
-62509.04491216035,27,0,37,593,0.421875,0.0,1.0,0.421875,0.5934065934065934
-62504.908216318065,28,0,36,593,0.4375,0.0,1.0,0.4375,0.6086956521739131
-61926.07627630166,29,0,35,593,0.453125,0.0,1.0,0.453125,0.6236559139784946
-61266.76373823439,30,0,34,593,0.46875,0.0,1.0,0.46875,0.6382978723404256
-61190.65217736879,31,0,33,593,0.484375,0.0,1.0,0.484375,0.6526315789473685
-60792.70556895527,32,0,32,593,0.5,0.0,1.0,0.5,0.6666666666666666
-60485.77256128337,33,0,31,593,0.515625,0.0,1.0,0.515625,0.6804123711340206
-46974.83048466954,34,0,30,593,0.53125,0.0,1.0,0.53125,0.6938775510204082
-42367.97174309059,35,0,29,593,0.546875,0.0,1.0,0.546875,0.7070707070707071
-42307.709153031574,36,0,28,593,0.5625,0.0,1.0,0.5625,0.72
-42244.44159475671,37,0,27,593,0.578125,0.0,1.0,0.578125,0.7326732673267327
-41866.730399599306,38,0,26,593,0.59375,0.0,1.0,0.59375,0.7450980392156863
-41733.58948485624,39,0,25,593,0.609375,0.0,1.0,0.609375,0.7572815533980582
-41378.08115614074,40,0,24,593,0.625,0.0,1.0,0.625,0.7692307692307693
-39165.500514395164,41,0,23,593,0.640625,0.0,1.0,0.640625,0.780952380952381
-38792.99805237126,42,0,22,593,0.65625,0.0,1.0,0.65625,0.7924528301886793
-34937.40946917087,43,0,21,593,0.671875,0.0,1.0,0.671875,0.8037383177570093
-27217.185615857117,44,0,20,593,0.6875,0.0,1.0,0.6875,0.8148148148148148
-27159.349374097277,45,0,19,593,0.703125,0.0,1.0,0.703125,0.8256880733944955
-27120.13068936792,46,0,18,593,0.71875,0.0,1.0,0.71875,0.8363636363636363
-25381.494431303465,47,0,17,593,0.734375,0.0,1.0,0.734375,0.8468468468468469
-25374.95953121694,48,0,16,593,0.75,0.0,1.0,0.75,0.8571428571428571
-19377.725472109363,49,0,15,593,0.765625,0.0,1.0,0.765625,0.8672566371681416
-18805.808423045994,50,0,14,593,0.78125,0.0,1.0,0.78125,0.8771929824561403
-18804.007573895113,51,0,13,593,0.796875,0.0,1.0,0.796875,0.8869565217391304
-17799.74735654924,52,0,12,593,0.8125,0.0,1.0,0.8125,0.896551724137931
-17595.592933782216,53,0,11,593,0.828125,0.0,1.0,0.828125,0.905982905982906
-17565.679896003618,54,0,10,593,0.84375,0.0,1.0,0.84375,0.9152542372881356
-16229.65734027562,55,0,9,593,0.859375,0.0,1.0,0.859375,0.9243697478991597
-14683.32207789636,55,1,9,592,0.859375,0.0016863406408094434,0.9821428571428571,0.859375,0.9166666666666665
-13956.509879071038,56,1,8,592,0.875,0.0016863406408094434,0.9824561403508771,0.875,0.9256198347107438
-13703.67238227316,56,2,8,591,0.875,0.003372681281618887,0.9655172413793104,0.875,0.9180327868852458
-13645.310737015496,57,2,7,591,0.890625,0.003372681281618887,0.9661016949152542,0.890625,0.9268292682926829
-13465.484702704684,58,2,6,591,0.90625,0.003372681281618887,0.9666666666666667,0.90625,0.9354838709677419
-13397.034123153504,59,2,5,591,0.921875,0.003372681281618887,0.9672131147540983,0.921875,0.944
-13353.961627110415,60,2,4,591,0.9375,0.003372681281618887,0.967741935483871,0.9375,0.9523809523809523
-11611.99020819081,61,2,3,591,0.953125,0.003372681281618887,0.9682539682539683,0.953125,0.9606299212598425
-11576.720369739976,61,3,3,590,0.953125,0.00505902192242833,0.953125,0.953125,0.953125
-10555.57831722655,61,4,3,589,0.953125,0.006745362563237774,0.9384615384615385,0.953125,0.9457364341085271
-10189.206998597665,62,4,2,589,0.96875,0.006745362563237774,0.9393939393939394,0.96875,0.9538461538461539
-8773.258085629624,62,5,2,588,0.96875,0.008431703204047217,0.9253731343283582,0.96875,0.9465648854961832
-8483.846462723226,62,6,2,587,0.96875,0.01011804384485666,0.9117647058823529,0.96875,0.9393939393939394
-8079.463032780763,62,7,2,586,0.96875,0.011804384485666104,0.8985507246376812,0.96875,0.9323308270676692
-7908.505278586779,62,8,2,585,0.96875,0.013490725126475547,0.8857142857142857,0.96875,0.9253731343283582
-7728.7005684704145,62,9,2,584,0.96875,0.01517706576728499,0.8732394366197183,0.96875,0.9185185185185184
