threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-28808.524219475763,0,0,116,331,0.0,0.0,0.0,0.0,0.0
-19457.662010487486,0,1,116,330,0.0,0.0030211480362537764,0.0,0.0,0.0
-16995.18071059674,1,1,115,330,0.008620689655172414,0.0030211480362537764,0.5,0.008620689655172414,0.01694915254237288
-16747.73452199897,2,1,114,330,0.017241379310344827,0.0030211480362537764,0.6666666666666666,0.017241379310344827,0.03361344537815126
-16308.597011613016,3,1,113,330,0.02586206896551724,0.0030211480362537764,0.75,0.02586206896551724,0.05
-3333.3600052066063,4,1,112,330,0.034482758620689655,0.0030211480362537764,0.8,0.034482758620689655,0.06611570247933884
-3315.3283275624667,5,1,111,330,0.04310344827586207,0.0030211480362537764,0.8333333333333334,0.04310344827586207,0.0819672131147541
-3163.1612875598316,6,1,110,330,0.05172413793103448,0.0030211480362537764,0.8571428571428571,0.05172413793103448,0.09756097560975609
-3045.1159417353224,7,1,109,330,0.0603448275862069,0.0030211480362537764,0.875,0.0603448275862069,0.11290322580645162
-2766.3145287843527,8,1,108,330,0.06896551724137931,0.0030211480362537764,0.8888888888888888,0.06896551724137931,0.128
-2740.8918108079456,9,1,107,330,0.07758620689655173,0.0030211480362537764,0.9,0.07758620689655173,0.14285714285714285
-2691.015403946504,10,1,106,330,0.08620689655172414,0.0030211480362537764,0.9090909090909091,0.08620689655172414,0.15748031496062995
-2492.6698061984675,10,2,106,329,0.08620689655172414,0.006042296072507553,0.8333333333333334,0.08620689655172414,0.15625000000000003
-1918.3011422647298,11,2,105,329,0.09482758620689655,0.006042296072507553,0.8461538461538461,0.09482758620689655,0.17054263565891473
-1540.3268255212106,12,2,104,329,0.10344827586206896,0.006042296072507553,0.8571428571428571,0.10344827586206896,0.1846153846153846
-1523.4778659019705,13,2,103,329,0.11206896551724138,0.006042296072507553,0.8666666666666667,0.11206896551724138,0.19847328244274812
-1508.520335645512,13,3,103,328,0.11206896551724138,0.00906344410876133,0.8125,0.11206896551724138,0.196969696969697
-1479.4370362971222,14,3,102,328,0.1206896551724138,0.00906344410876133,0.8235294117647058,0.1206896551724138,0.21052631578947367
-1415.3712671683795,15,3,101,328,0.12931034482758622,0.00906344410876133,0.8333333333333334,0.12931034482758622,0.22388059701492538
-1356.973934874253,15,4,101,327,0.12931034482758622,0.012084592145015106,0.7894736842105263,0.12931034482758622,0.22222222222222224
-1355.018256326025,16,4,100,327,0.13793103448275862,0.012084592145015106,0.8,0.13793103448275862,0.2352941176470588
-1320.4874520805554,17,4,99,327,0.14655172413793102,0.012084592145015106,0.8095238095238095,0.14655172413793102,0.2481751824817518
-1298.4258021731769,17,5,99,326,0.14655172413793102,0.015105740181268883,0.7727272727272727,0.14655172413793102,0.24637681159420288
-1249.2234246118164,18,5,98,326,0.15517241379310345,0.015105740181268883,0.782608695652174,0.15517241379310345,0.2589928057553957
-1224.7333977027067,18,6,98,325,0.15517241379310345,0.01812688821752266,0.75,0.15517241379310345,0.2571428571428572
-997.9022168290469,19,6,97,325,0.16379310344827586,0.01812688821752266,0.76,0.16379310344827586,0.2695035460992908
-976.4280731789922,19,7,97,324,0.16379310344827586,0.021148036253776436,0.7307692307692307,0.16379310344827586,0.2676056338028169
-943.7075899091394,20,7,96,324,0.1724137931034483,0.021148036253776436,0.7407407407407407,0.1724137931034483,0.27972027972027974
-924.0333353825345,21,7,95,324,0.1810344827586207,0.021148036253776436,0.75,0.1810344827586207,0.2916666666666667
-849.1178678189062,21,8,95,323,0.1810344827586207,0.02416918429003021,0.7241379310344828,0.1810344827586207,0.2896551724137931
-843.0062692341962,21,9,95,322,0.1810344827586207,0.027190332326283987,0.7,0.1810344827586207,0.28767123287671237
-756.6020925050852,21,10,95,321,0.1810344827586207,0.030211480362537766,0.6774193548387096,0.1810344827586207,0.2857142857142857
-755.8665430037158,22,10,94,321,0.1896551724137931,0.030211480362537766,0.6875,0.1896551724137931,0.2972972972972973
-706.6487824719374,23,10,93,321,0.19827586206896552,0.030211480362537766,0.696969696969697,0.19827586206896552,0.3087248322147651
-690.421781392309,24,10,92,321,0.20689655172413793,0.030211480362537766,0.7058823529411765,0.20689655172413793,0.32
-689.3197524456003,25,10,91,321,0.21551724137931033,0.030211480362537766,0.7142857142857143,0.21551724137931033,0.3311258278145695
-648.0016981445093,26,10,90,321,0.22413793103448276,0.030211480362537766,0.7222222222222222,0.22413793103448276,0.34210526315789475
-606.3160473717808,27,10,89,321,0.23275862068965517,0.030211480362537766,0.7297297297297297,0.23275862068965517,0.3529411764705882
-580.7213441525038,27,11,89,320,0.23275862068965517,0.03323262839879154,0.7105263157894737,0.23275862068965517,0.35064935064935066
