threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-619583561.1276455,0,0,324,56863,0.0,0.0,0.0,0.0,0.0
-553304883.6118355,0,1,324,56862,0.0,1.758612806218455e-05,0.0,0.0,0.0
-411115440.93256456,0,2,324,56861,0.0,3.51722561243691e-05,0.0,0.0,0.0
-410648166.3435875,0,3,324,56860,0.0,5.275838418655365e-05,0.0,0.0,0.0
-360592439.3537287,0,4,324,56859,0.0,7.03445122487382e-05,0.0,0.0,0.0
-256448283.46970558,0,5,324,56858,0.0,8.793064031092274e-05,0.0,0.0,0.0
-247878706.54671526,0,6,324,56857,0.0,0.0001055167683731073,0.0,0.0,0.0
-241330115.9884546,0,7,324,56856,0.0,0.00012310289643529184,0.0,0.0,0.0
-234562921.03541327,0,8,324,56855,0.0,0.0001406890244974764,0.0,0.0,0.0
-175825845.26416275,0,9,324,56854,0.0,0.00015827515255966093,0.0,0.0,0.0
-140409062.4850578,0,10,324,56853,0.0,0.00017586128062184548,0.0,0.0,0.0
-116765466.11735143,0,11,324,56852,0.0,0.00019344740868403002,0.0,0.0,0.0
-85381121.46731584,0,12,324,56851,0.0,0.0002110335367462146,0.0,0.0,0.0
-84874208.91890429,0,13,324,56850,0.0,0.00022861966480839914,0.0,0.0,0.0
-82850667.49883541,0,14,324,56849,0.0,0.0002462057928705837,0.0,0.0,0.0
-79392899.04055145,0,15,324,56848,0.0,0.00026379192093276823,0.0,0.0,0.0
-78037163.76140061,0,16,324,56847,0.0,0.0002813780489949528,0.0,0.0,0.0
-78002862.23253755,0,17,324,56846,0.0,0.0002989641770571373,0.0,0.0,0.0
-67846307.95198603,0,18,324,56845,0.0,0.00031655030511932187,0.0,0.0,0.0
-62978933.61762359,0,19,324,56844,0.0,0.0003341364331815064,0.0,0.0,0.0
-62640297.34361793,0,20,324,56843,0.0,0.00035172256124369096,0.0,0.0,0.0
-62117199.22084285,0,21,324,56842,0.0,0.0003693086893058755,0.0,0.0,0.0
-58152114.82800788,0,22,324,56841,0.0,0.00038689481736806005,0.0,0.0,0.0
-47980010.201146096,0,23,324,56840,0.0,0.00040448094543024465,0.0,0.0,0.0
-45072971.157940164,0,24,324,56839,0.0,0.0004220670734924292,0.0,0.0,0.0
-40863360.13850808,0,25,324,56838,0.0,0.00043965320155461374,0.0,0.0,0.0
-31789739.324384805,0,26,324,56837,0.0,0.0004572393296167983,0.0,0.0,0.0
-29457408.467045117,0,28,324,56835,0.0,0.0004924115857411674,0.0,0.0,0.0
-10239357.638080915,0,29,324,56834,0.0,0.0005099977138033519,0.0,0.0,0.0
-9621657.870033594,0,30,324,56833,0.0,0.0005275838418655365,0.0,0.0,0.0
-1662365.2229092207,0,31,324,56832,0.0,0.000545169969927721,0.0,0.0,0.0
-1519844.9278342861,0,32,324,56831,0.0,0.0005627560979899056,0.0,0.0,0.0
-1399692.5509969413,0,33,324,56830,0.0,0.0005803422260520901,0.0,0.0,0.0
-1302933.9349180085,0,34,324,56829,0.0,0.0005979283541142746,0.0,0.0,0.0
-1276783.086276126,0,35,324,56828,0.0,0.0006155144821764592,0.0,0.0,0.0
-1191683.3524559883,0,37,324,56826,0.0,0.0006506867383008283,0.0,0.0,0.0
-1099294.937601771,0,38,324,56825,0.0,0.0006682728663630128,0.0,0.0,0.0
-1096934.018472308,0,39,324,56824,0.0,0.0006858589944251974,0.0,0.0,0.0
-1075482.8452688283,0,40,324,56823,0.0,0.0007034451224873819,0.0,0.0,0.0
-1042724.9635754852,0,41,324,56822,0.0,0.0007210312505495665,0.0,0.0,0.0
-853931.4098048604,0,42,324,56821,0.0,0.000738617378611751,0.0,0.0,0.0
-756662.9402913095,0,43,324,56820,0.0,0.0007562035066739356,0.0,0.0,0.0
-732003.2509418996,0,44,324,56819,0.0,0.0007737896347361201,0.0,0.0,0.0
-731542.790486757,0,45,324,56818,0.0,0.0007913757627983048,0.0,0.0,0.0
-721611.3336411258,0,46,324,56817,0.0,0.0008089618908604893,0.0,0.0,0.0
-699221.143514071,0,47,324,56816,0.0,0.0008265480189226738,0.0,0.0,0.0
-652667.9817279497,0,48,324,56815,0.0,0.0008441341469848584,0.0,0.0,0.0
