threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-12525891553.48773,0,0,3001,39610,0.0,0.0,0.0,0.0,0.0
-11619710796.972742,0,1,3001,39609,0.0,2.5246149962130775e-05,0.0,0.0,0.0
-11459005526.390553,0,2,3001,39608,0.0,5.049229992426155e-05,0.0,0.0,0.0
-11291679627.534374,0,3,3001,39607,0.0,7.573844988639233e-05,0.0,0.0,0.0
-11219031114.353804,0,4,3001,39606,0.0,0.0001009845998485231,0.0,0.0,0.0
-11219031114.34726,0,5,3001,39605,0.0,0.00012623074981065388,0.0,0.0,0.0
-10153927603.278198,0,6,3001,39604,0.0,0.00015147689977278465,0.0,0.0,0.0
-10016992066.530642,0,7,3001,39603,0.0,0.00017672304973491543,0.0,0.0,0.0
-10000000001.0,0,8,3001,39602,0.0,0.0002019691996970462,0.0,0.0,0.0
-9978098172.742628,0,15,3001,39595,0.0,0.0003786922494319616,0.0,0.0,0.0
-9924034661.61663,0,16,3001,39594,0.0,0.0004039383993940924,0.0,0.0,0.0
-9847925306.355179,0,17,3001,39593,0.0,0.00042918454935622315,0.0,0.0,0.0
-9829251112.185495,0,18,3001,39592,0.0,0.00045443069931835396,0.0,0.0,0.0
-9829251112.184069,0,19,3001,39591,0.0,0.0004796768492804847,0.0,0.0,0.0
-9829251112.183207,0,20,3001,39590,0.0,0.0005049229992426155,0.0,0.0,0.0
-9829251112.181885,0,21,3001,39589,0.0,0.0005301691492047463,0.0,0.0,0.0
-9829251112.181662,0,22,3001,39588,0.0,0.000555415299166877,0.0,0.0,0.0
-9829251112.181389,0,23,3001,39587,0.0,0.0005806614491290079,0.0,0.0,0.0
-9714285715.285715,0,24,3001,39586,0.0,0.0006059075990911386,0.0,0.0,0.0
-9714285715.285053,1,27,3000,39583,0.0003332222592469177,0.000681646048977531,0.03571428571428571,0.0003332222592469177,0.0006602839220864972
-9714285715.284424,1,30,3000,39580,0.0003332222592469177,0.0007573844988639232,0.03225806451612903,0.0003332222592469177,0.0006596306068601584
-9714285715.283527,1,31,3000,39579,0.0003332222592469177,0.0007826306488260541,0.03125,0.0003332222592469177,0.0006594131223211342
-9714285715.282965,1,32,3000,39578,0.0003332222592469177,0.0008078767987881848,0.030303030303030304,0.0003332222592469177,0.0006591957811470007
-9651739552.965996,1,33,3000,39577,0.0003332222592469177,0.0008331229487503156,0.029411764705882353,0.0003332222592469177,0.0006589785831960462
-9651739552.96133,1,34,3000,39576,0.0003332222592469177,0.0008583690987124463,0.02857142857142857,0.0003332222592469177,0.0006587615283267457
-9616312383.839712,1,35,3000,39575,0.0003332222592469177,0.0008836152486745772,0.027777777777777776,0.0003332222592469177,0.000658544616397761
