threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-2235.417839356558,0,0,1813,56660,0.0,0.0,0.0,0.0,0.0
-2210.0552388772458,0,1,1813,56659,0.0,1.7649135192375574e-05,0.0,0.0,0.0
-2133.1943786174343,0,2,1813,56658,0.0,3.529827038475115e-05,0.0,0.0,0.0
-2111.32540219188,0,3,1813,56657,0.0,5.294740557712672e-05,0.0,0.0,0.0
-2057.1409402033833,0,4,1813,56656,0.0,7.05965407695023e-05,0.0,0.0,0.0
-2046.3723703918968,0,5,1813,56655,0.0,8.824567596187787e-05,0.0,0.0,0.0
-2034.2682624076306,0,6,1813,56654,0.0,0.00010589481115425344,0.0,0.0,0.0
-2027.6889362403108,0,7,1813,56653,0.0,0.000123543946346629,0.0,0.0,0.0
-1982.6842560699424,0,8,1813,56652,0.0,0.0001411930815390046,0.0,0.0,0.0
-1970.8505150827204,0,9,1813,56651,0.0,0.00015884221673138015,0.0,0.0,0.0
-1962.6733577555606,0,10,1813,56650,0.0,0.00017649135192375574,0.0,0.0,0.0
-1952.7556158514926,0,11,1813,56649,0.0,0.00019414048711613132,0.0,0.0,0.0
-1932.6462654415154,0,12,1813,56648,0.0,0.00021178962230850688,0.0,0.0,0.0
-1890.8420049582628,0,13,1813,56647,0.0,0.00022943875750088246,0.0,0.0,0.0
-1864.1101796370504,0,14,1813,56646,0.0,0.000247087892693258,0.0,0.0,0.0
-1814.2838030104258,0,15,1813,56645,0.0,0.0002647370278856336,0.0,0.0,0.0
-1777.760380543974,0,16,1813,56644,0.0,0.0002823861630780092,0.0,0.0,0.0
-1774.3499350059055,0,17,1813,56643,0.0,0.0003000352982703848,0.0,0.0,0.0
-1771.1241577506598,0,18,1813,56642,0.0,0.0003176844334627603,0.0,0.0,0.0
-1734.9480207103697,0,19,1813,56641,0.0,0.0003353335686551359,0.0,0.0,0.0
-1715.2091948051802,0,20,1813,56640,0.0,0.00035298270384751147,0.0,0.0,0.0
-1696.3231723964063,0,21,1813,56639,0.0,0.00037063183903988706,0.0,0.0,0.0
-1685.226777016168,0,22,1813,56638,0.0,0.00038828097423226264,0.0,0.0,0.0
-1673.3893210643046,0,23,1813,56637,0.0,0.00040593010942463817,0.0,0.0,0.0
-1669.9804995504292,0,24,1813,56636,0.0,0.00042357924461701376,0.0,0.0,0.0
-1666.4561800853444,0,25,1813,56635,0.0,0.00044122837980938934,0.0,0.0,0.0
-1662.6648613134348,0,26,1813,56634,0.0,0.0004588775150017649,0.0,0.0,0.0
-1638.6973629983622,0,27,1813,56633,0.0,0.0004765266501941405,0.0,0.0,0.0
-1625.614656991338,0,28,1813,56632,0.0,0.000494175785386516,0.0,0.0,0.0
-1623.1178138439727,0,29,1813,56631,0.0,0.0005118249205788917,0.0,0.0,0.0
-1621.215006799437,0,30,1813,56630,0.0,0.0005294740557712672,0.0,0.0,0.0
-1614.6405880832071,0,31,1813,56629,0.0,0.0005471231909636427,0.0,0.0,0.0
-1609.7313348878206,0,32,1813,56628,0.0,0.0005647723261560184,0.0,0.0,0.0
-1607.1685973804206,0,33,1813,56627,0.0,0.0005824214613483939,0.0,0.0,0.0
-1596.9131085084218,0,34,1813,56626,0.0,0.0006000705965407695,0.0,0.0,0.0
-1595.3661419043374,0,35,1813,56625,0.0,0.0006177197317331451,0.0,0.0,0.0
-1594.3523525090404,0,36,1813,56624,0.0,0.0006353688669255206,0.0,0.0,0.0
-1592.8537312210437,0,37,1813,56623,0.0,0.0006530180021178962,0.0,0.0,0.0
-1584.7030467830782,0,38,1813,56622,0.0,0.0006706671373102718,0.0,0.0,0.0
-1581.0251308628685,0,39,1813,56621,0.0,0.0006883162725026474,0.0,0.0,0.0
-1579.2136466249467,0,40,1813,56620,0.0,0.0007059654076950229,0.0,0.0,0.0
-1574.4967214592652,0,41,1813,56619,0.0,0.0007236145428873985,0.0,0.0,0.0
-1574.071297274042,0,42,1813,56618,0.0,0.0007412636780797741,0.0,0.0,0.0
-1570.8492904626391,0,43,1813,56617,0.0,0.0007589128132721496,0.0,0.0,0.0
-1564.1055229867543,0,44,1813,56616,0.0,0.0007765619484645253,0.0,0.0,0.0
-1555.516545635136,0,45,1813,56615,0.0,0.0007942110836569008,0.0,0.0,0.0
-1545.1820033591348,0,46,1813,56614,0.0,0.0008118602188492763,0.0,0.0,0.0
-1544.7979801059955,0,47,1813,56613,0.0,0.000829509354041652,0.0,0.0,0.0
-1526.5469342141141,0,48,1813,56612,0.0,0.0008471584892340275,0.0,0.0,0.0
-1525.5645253770908,0,49,1813,56611,0.0,0.0008648076244264032,0.0,0.0,0.0
-1521.694656552092,0,50,1813,56610,0.0,0.0008824567596187787,0.0,0.0,0.0
-1517.0174226633217,0,51,1813,56609,0.0,0.0009001058948111542,0.0,0.0,0.0
-1513.0350901605061,0,52,1813,56608,0.0,0.0009177550300035299,0.0,0.0,0.0
-1509.9683526455137,0,53,1813,56607,0.0,0.0009354041651959054,0.0,0.0,0.0
-1508.2143512400253,0,54,1813,56606,0.0,0.000953053300388281,0.0,0.0,0.0
