threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-0.34886588325295764,0,0,8,13,0.0,0.0,0.0,0.0,0.0
-0.27124389192716114,1,0,7,13,0.125,0.0,1.0,0.125,0.2222222222222222
-0.05797360252071493,2,0,6,13,0.25,0.0,1.0,0.25,0.4
-0.01043363217996296,2,1,6,12,0.25,0.07692307692307693,0.6666666666666666,0.25,0.36363636363636365
0.010273625840018008,2,2,6,11,0.25,0.15384615384615385,0.5,0.25,0.3333333333333333
0.027771464529270817,2,3,6,10,0.25,0.23076923076923078,0.4,0.25,0.3076923076923077
0.10709550298374704,2,4,6,9,0.25,0.3076923076923077,0.3333333333333333,0.25,0.28571428571428575
0.14439348869442914,3,4,5,9,0.375,0.3076923076923077,0.42857142857142855,0.375,0.39999999999999997
0.15978249991962623,4,4,4,9,0.5,0.3076923076923077,0.5,0.5,0.5
0.17102248275539322,5,4,3,9,0.625,0.3076923076923077,0.5555555555555556,0.625,0.5882352941176471
0.17224797001369563,5,5,3,8,0.625,0.38461538461538464,0.5,0.625,0.5555555555555556
0.19815320653129764,6,5,2,8,0.75,0.38461538461538464,0.5454545454545454,0.75,0.631578947368421
0.22231743660283554,6,6,2,7,0.75,0.46153846153846156,0.5,0.75,0.6
0.2328563371179524,6,7,2,6,0.75,0.5384615384615384,0.46153846153846156,0.75,0.5714285714285714
0.23439570335888682,7,7,1,6,0.875,0.5384615384615384,0.5,0.875,0.6363636363636364
0.24550959840212672,7,8,1,5,0.875,0.6153846153846154,0.4666666666666667,0.875,0.608695652173913
0.2541793714464098,7,9,1,4,0.875,0.6923076923076923,0.4375,0.875,0.5833333333333334
0.25645581465959255,8,9,0,4,1.0,0.6923076923076923,0.47058823529411764,1.0,0.6399999999999999
0.28640695201997435,8,10,0,3,1.0,0.7692307692307693,0.4444444444444444,1.0,0.6153846153846153
0.28899206897325636,8,11,0,2,1.0,0.8461538461538461,0.42105263157894735,1.0,0.5925925925925926
0.3257812881477471,8,12,0,1,1.0,0.9230769230769231,0.4,1.0,0.5714285714285715
