threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-1.9877133271870275,0,0,3,28,0.0,0.0,0.0,0.0,0.0
-1.4628460409073902,1,0,2,28,0.3333333333333333,0.0,1.0,0.3333333333333333,0.5
-1.2682303281348621,2,0,1,28,0.6666666666666666,0.0,1.0,0.6666666666666666,0.8
-0.5327545464478474,3,0,0,28,1.0,0.0,1.0,1.0,1.0
-0.42295717013036715,3,1,0,27,1.0,0.03571428571428571,0.75,1.0,0.8571428571428571
0.11562024214662436,3,2,0,26,1.0,0.07142857142857142,0.6,1.0,0.7499999999999999
0.11814434405860741,3,3,0,25,1.0,0.10714285714285714,0.5,1.0,0.6666666666666666
0.19617111262495346,3,4,0,24,1.0,0.14285714285714285,0.42857142857142855,1.0,0.6
0.22359207130719438,3,5,0,23,1.0,0.17857142857142858,0.375,1.0,0.5454545454545454
0.24630167247288925,3,6,0,22,1.0,0.21428571428571427,0.3333333333333333,1.0,0.5
0.2971923148342861,3,7,0,21,1.0,0.25,0.3,1.0,0.4615384615384615
0.29736076924725596,3,8,0,20,1.0,0.2857142857142857,0.2727272727272727,1.0,0.42857142857142855
0.31631319759273735,3,9,0,19,1.0,0.32142857142857145,0.25,1.0,0.4
0.31746398616834615,3,10,0,18,1.0,0.35714285714285715,0.23076923076923078,1.0,0.375
0.3338985254837987,3,11,0,17,1.0,0.39285714285714285,0.21428571428571427,1.0,0.35294117647058826
0.3553389029066478,3,12,0,16,1.0,0.42857142857142855,0.2,1.0,0.33333333333333337
0.36154656499754,3,13,0,15,1.0,0.4642857142857143,0.1875,1.0,0.3157894736842105
0.3883617874149712,3,14,0,14,1.0,0.5,0.17647058823529413,1.0,0.3
0.3950361748485536,3,15,0,13,1.0,0.5357142857142857,0.16666666666666666,1.0,0.2857142857142857
0.3951750221755179,3,16,0,12,1.0,0.5714285714285714,0.15789473684210525,1.0,0.2727272727272727
0.39971922572637997,3,17,0,11,1.0,0.6071428571428571,0.15,1.0,0.2608695652173913
0.4164352292757645,3,18,0,10,1.0,0.6428571428571429,0.14285714285714285,1.0,0.25
0.4191527070877581,3,19,0,9,1.0,0.6785714285714286,0.13636363636363635,1.0,0.24000000000000002
0.4287523860989224,3,20,0,8,1.0,0.7142857142857143,0.13043478260869565,1.0,0.23076923076923078
0.43761145020783365,3,21,0,7,1.0,0.75,0.125,1.0,0.2222222222222222
0.4387009645268347,3,22,0,6,1.0,0.7857142857142857,0.12,1.0,0.21428571428571425
0.4518708273266241,3,23,0,5,1.0,0.8214285714285714,0.11538461538461539,1.0,0.20689655172413793
0.48692875910865085,3,24,0,4,1.0,0.8571428571428571,0.1111111111111111,1.0,0.19999999999999998
0.5123689888886114,3,25,0,3,1.0,0.8928571428571429,0.10714285714285714,1.0,0.19354838709677416
0.5201850398437102,3,26,0,2,1.0,0.9285714285714286,0.10344827586206896,1.0,0.1875
0.5918443425931268,3,27,0,1,1.0,0.9642857142857143,0.1,1.0,0.18181818181818182
