threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-0.6449586185829244,1,0,24226,116523,4.127626202171132e-5,0.0,1.0,4.127626202171132e-5,8.254911672445105e-5
-0.6414178430396726,3,0,24224,116523,1.2382878606513394e-4,0.0,1.0,1.2382878606513394e-4,2.4762690879075525e-4
-0.6410256254052459,4,0,24223,116523,1.6510504808684527e-4,0.0,1.0,1.6510504808684527e-4,3.301555858198176e-4
-0.640241909495786,8,0,24219,116523,3.3021009617369054e-4,0.0,1.0,3.3021009617369054e-4,6.602021869197441e-4
-0.6398504109275309,11,0,24216,116523,4.5403888223882445e-4,0.0,1.0,4.5403888223882445e-4,9.076656489809391e-4
-0.6394591517549272,13,0,24214,116523,5.365914062822471e-4,0.0,1.0,5.365914062822471e-4,0.0010726072607260726
-0.6390681318315878,14,0,24213,116523,5.778676683039584e-4,0.0,1.0,5.778676683039584e-4,0.001155067860236789
-0.6382868091476022,20,0,24207,116523,8.255252404342263e-4,0.0,1.0,8.255252404342263e-4,0.0016496886212727345
-0.6375064417062676,21,0,24206,116523,8.668015024559376e-4,0.0,1.0,8.668015024559376e-4,0.0017321016166281754
-0.6371166158365772,28,0,24199,116523,0.0011557353366079169,0.0,1.0,0.0011557353366079169,0.0023088023088023092
-0.6367270283397075,30,0,24197,116523,0.0012382878606513395,0.0,1.0,0.0012382878606513395,0.002473512800428742
-0.6359485678814731,35,0,24192,116523,0.001444669170759896,0.0,1.0,0.001444669170759896,0.0028851702250432777
-0.6358929999955666,35,1,24192,116522,0.001444669170759896,8.581996687349279e-6,0.9722222222222222,0.001444669170759896,0.0028850513126983473
-0.6355596946288529,37,1,24190,116522,0.0015272216948033187,8.581996687349279e-6,0.9736842105263158,0.0015272216948033187,0.0030496600041211622
-0.6351710591665417,38,1,24189,116522,0.0015684979568250299,8.581996687349279e-6,0.9743589743589743,0.0015684979568250299,0.0031319541745652353
-0.6347826613491345,45,1,24182,116522,0.001857431790977009,8.581996687349279e-6,0.9782608695652174,0.001857431790977009,0.003707823507601038
-0.6347271953377575,45,3,24182,116520,0.001857431790977009,2.5745990062047836e-5,0.9375,0.001857431790977009,0.0037075180226570545
-0.6343945010313149,46,3,24181,116520,0.0018987080529987205,2.5745990062047836e-5,0.9387755102040817,0.0018987080529987205,0.003789751194595485
-0.6340065780678553,50,3,24177,116520,0.0020638131010855655,2.5745990062047836e-5,0.9433962264150944,0.0020638131010855655,0.004118616144975287
-0.633618892313617,52,3,24175,116520,0.0021463656251289884,2.5745990062047836e-5,0.9454545454545454,0.0021463656251289884,0.004283007989457211
-0.6335635279899993,52,5,24175,116518,0.0021463656251289884,4.290998343674639e-5,0.9122807017543859,0.0021463656251289884,0.004282655246252677
-0.6332314436235499,53,5,24174,116518,0.0021876418871507,4.290998343674639e-5,0.9137931034482759,0.0021876418871507,0.004364834259831172
-0.6328442318526929,54,5,24173,116518,0.002228918149172411,4.290998343674639e-5,0.9152542372881356,0.002228918149172411,0.004447006505805814
-0.6324572568561734,59,5,24168,116518,0.0024352994592809676,4.290998343674639e-5,0.921875,0.0024352994592809676,0.00485776625087481
-0.6320705184892071,66,5,24161,116518,0.0027242332934329467,4.290998343674639e-5,0.9295774647887324,0.0027242332934329467,0.0054325458885504975
-0.6316840166070988,69,5,24158,116518,0.0028480620794980806,4.290998343674639e-5,0.9324324324324325,0.0028480620794980806,0.005678778651084317
-0.6312977510652412,79,5,24148,116518,0.0032608246997151936,4.290998343674639e-5,0.9404761904761905,0.0032608246997151936,0.006499115626671053
-0.6309117217191158,83,5,24144,116518,0.003425929747802039,4.290998343674639e-5,0.9431818181818182,0.003425929747802039,0.0068270614846802375
-0.6305259284242924,85,5,24142,116518,0.0035084822718454618,4.290998343674639e-5,0.9444444444444444,0.0035084822718454618,0.006990993954846404
-0.6297550494112722,86,5,24141,116518,0.003549758533867173,4.290998343674639e-5,0.945054945054945,0.003549758533867173,0.0070729500781314255
-0.6293149703437614,89,5,24138,116518,0.003673587319932307,4.290998343674639e-5,0.9468085106382979,0.003673587319932307,0.007318778010772584
-0.6289851128725039,94,5,24133,116518,0.0038799686300408634,4.290998343674639e-5,0.9494949494949495,0.0038799686300408634,0.007728356490997287
-0.6285455718442741,95,5,24132,116518,0.003921244892062575,4.290998343674639e-5,0.95,0.003921244892062575,0.007810251983392938
-0.6278319726833771,98,5,24129,116518,0.004045073678127709,4.290998343674639e-5,0.9514563106796117,0.004045073678127709,0.008055898068228526
-0.6274480626100677,99,5,24128,116518,0.00408634994014942,4.290998343674639e-5,0.9519230769230769,0.00408634994014942,0.008137766635156795
