threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-0.6316840166070988,0,1,323,56862,0.0,1.758612806218455e-5,0.0,0.0,0.0
-0.6274480626100677,0,2,323,56861,0.0,3.51722561243691e-5,0.0,0.0,0.0
-0.6240034187356563,1,2,322,56861,0.0030959752321981426,3.51722561243691e-5,0.3333333333333333,0.0030959752321981426,0.006134969325153374
-0.6232405141224261,1,3,322,56860,0.0030959752321981426,5.275838418655365e-5,0.25,0.0030959752321981426,0.006116207951070337
-0.6220979057051227,1,4,322,56859,0.0030959752321981426,7.03445122487382e-5,0.2,0.0030959752321981426,0.006097560975609756
-0.6213373307661184,2,4,321,56859,0.006191950464396285,7.03445122487382e-5,0.3333333333333333,0.006191950464396285,0.0121580547112462
-0.6209573920713992,3,5,320,56858,0.009287925696594427,8.793064031092274e-5,0.375,0.009287925696594427,0.018126888217522657
-0.6194399591418879,3,6,320,56857,0.009287925696594427,1.055167683731073e-4,0.3333333333333333,0.009287925696594427,0.018072289156626505
-0.6190611806621801,3,7,320,56856,0.009287925696594427,1.2310289643529184e-4,0.3,0.009287925696594427,0.018018018018018018
-0.6186826337999755,4,7,319,56856,0.01238390092879257,1.2310289643529184e-4,0.36363636363636365,0.01238390092879257,0.02395209580838324
-0.6183043184136432,5,7,318,56856,0.015479876160990712,1.2310289643529184e-4,0.4166666666666667,0.015479876160990712,0.029850746268656716
-0.6179262343616393,6,7,317,56856,0.018575851393188854,1.2310289643529184e-4,0.46153846153846156,0.018575851393188854,0.03571428571428571
-0.6171707596948728,6,8,317,56855,0.018575851393188854,1.406890244974764e-4,0.42857142857142855,0.018575851393188854,0.03560830860534124
-0.6167933687974544,6,9,317,56854,0.018575851393188854,1.5827515255966093e-4,0.4,0.018575851393188854,0.03550295857988166
-0.6164162086690529,6,10,317,56853,0.018575851393188854,1.7586128062184548e-4,0.375,0.018575851393188854,0.035398230088495575
-0.6160392791685565,7,10,316,56853,0.021671826625386997,1.7586128062184548e-4,0.4117647058823529,0.021671826625386997,0.041176470588235294
-0.6156625801549394,8,10,315,56853,0.02476780185758514,1.7586128062184548e-4,0.4444444444444444,0.02476780185758514,0.0469208211143695
-0.6149098730246721,10,10,313,56853,0.030959752321981424,1.7586128062184548e-4,0.5,0.030959752321981424,0.05830903790087463
-0.6145338646264017,11,10,312,56853,0.034055727554179564,1.7586128062184548e-4,0.5238095238095238,0.034055727554179564,0.06395348837209303
-0.6137825374601826,12,10,311,56853,0.03715170278637771,1.7586128062184548e-4,0.5454545454545454,0.03715170278637771,0.06956521739130435
-0.6134072184111299,15,10,308,56853,0.04643962848297214,1.7586128062184548e-4,0.6,0.04643962848297214,0.08620689655172414
-0.6122826377153802,17,10,306,56853,0.05263157894736842,1.7586128062184548e-4,0.6296296296296297,0.05263157894736842,0.09714285714285713
-0.6115340628920878,18,11,305,56852,0.05572755417956656,1.9344740868403002e-4,0.6206896551724138,0.05572755417956656,0.10227272727272728
-0.6111601187523641,18,12,305,56851,0.05572755417956656,2.110335367462146e-4,0.6,0.05572755417956656,0.1019830028328612
-0.6107864032740152,27,13,296,56850,0.08359133126934984,2.2861966480839914e-4,0.675,0.08359133126934984,0.1487603305785124
-0.6104129163172184,30,13,293,56850,0.09287925696594428,2.2861966480839914e-4,0.6976744186046512,0.09287925696594428,0.1639344262295082
-0.6096666274094151,30,15,293,56848,0.09287925696594428,2.6379192093276823e-4,0.6666666666666666,0.09287925696594428,0.1630434782608696
-0.6092938251791898,30,18,293,56845,0.09287925696594428,3.1655030511932187e-4,0.625,0.09287925696594428,0.16172506738544476
-0.6089212509120785,30,20,293,56843,0.09287925696594428,3.5172256124369096e-4,0.6,0.09287925696594428,0.16085790884718498
-0.6085489044686851,31,23,292,56840,0.09597523219814241,4.0448094543024465e-4,0.5740740740740741,0.09597523219814241,0.16445623342175067
-0.6081767857096986,35,23,288,56840,0.10835913312693499,4.0448094543024465e-4,0.603448275862069,0.10835913312693499,0.18372703412073488
-0.6078048944958935,38,23,285,56840,0.11764705882352941,4.0448094543024465e-4,0.6229508196721312,0.11764705882352941,0.19791666666666666
-0.607433230688129,43,24,280,56839,0.13312693498452013,4.220670734924292e-4,0.6417910447761194,0.13312693498452013,0.22051282051282053
-0.6070617941473498,48,26,275,56837,0.14860681114551083,4.572393296167983e-4,0.6486486486486487,0.14860681114551083,0.24181360201511337
-0.6066905847345855,49,27,274,56836,0.15170278637770898,4.7482545767898283e-4,0.6447368421052632,0.15170278637770898,0.2456140350877193
-0.6063196023109505,51,27,272,56836,0.15789473684210525,4.7482545767898283e-4,0.6538461538461539,0.15789473684210525,0.2543640897755611
-0.6059488467376444,53,28,270,56835,0.16408668730650156,4.924115857411674e-4,0.654320987654321,0.16408668730650156,0.2623762376237624
-0.6055783178759514,55,28,268,56835,0.17027863777089783,4.924115857411674e-4,0.6626506024096386,0.17027863777089783,0.270935960591133
-0.6052080155872408,59,30,264,56833,0.1826625386996904,5.275838418655365e-4,0.6629213483146067,0.1826625386996904,0.28640776699029125
-0.6048379397329664,60,30,263,56833,0.18575851393188855,5.275838418655365e-4,0.6666666666666666,0.18575851393188855,0.29055690072639223
-0.604468090174667,62,31,261,56832,0.19195046439628483,5.45169969927721e-4,0.6666666666666666,0.19195046439628483,0.2980769230769231
-0.6040984667739657,63,31,260,56832,0.19504643962848298,5.45169969927721e-4,0.6702127659574468,0.19504643962848298,0.3021582733812949
-0.6037290693925708,67,32,256,56831,0.20743034055727555,5.627560979899056e-4,0.6767676767676768,0.20743034055727555,0.31753554502369663
-0.6033598978922744,68,35,255,56828,0.21052631578947367,6.155144821764592e-4,0.6601941747572816,0.21052631578947367,0.3192488262910798
-0.6029909521349537,70,37,253,56826,0.21671826625386997,6.506867383008283e-4,0.6542056074766355,0.21671826625386997,0.3255813953488372
-0.6026222319825701,76,39,247,56824,0.23529411764705882,6.858589944251974e-4,0.6608695652173913,0.23529411764705882,0.3470319634703196
-0.6022537372971697,78,39,245,56824,0.24148606811145512,6.858589944251974e-4,0.6666666666666666,0.24148606811145512,0.35454545454545455
-0.6018854679408824,84,39,239,56824,0.26006191950464397,6.858589944251974e-4,0.6829268292682927,0.26006191950464397,0.3766816143497758
-0.601517423775923,87,40,236,56823,0.2693498452012384,7.034451224873819e-4,0.6850393700787402,0.2693498452012384,0.38666666666666666
-0.6011496046645902,93,40,230,56823,0.28792569659442724,7.034451224873819e-4,0.6992481203007519,0.28792569659442724,0.4078947368421053
-0.6007820104692669,94,40,229,56823,0.29102167182662536,7.034451224873819e-4,0.7014925373134329,0.29102167182662536,0.41137855579868704
-0.6004146410524205,94,42,229,56821,0.29102167182662536,7.38617378611751e-4,0.6911764705882353,0.29102167182662536,0.4095860566448801
-0.600047496276602,94,44,229,56819,0.29102167182662536,7.737896347361201e-4,0.6811594202898551,0.29102167182662536,0.4078091106290673
-0.5996805760044469,96,46,227,56817,0.29721362229102166,8.089618908604893e-4,0.676056338028169,0.29721362229102166,0.4129032258064516
-0.5993138800986743,99,46,224,56817,0.3065015479876161,8.089618908604893e-4,0.6827586206896552,0.3065015479876161,0.4230769230769231
-0.5989474084220875,102,47,221,56816,0.3157894736842105,8.265480189226738e-4,0.6845637583892618,0.3157894736842105,0.4322033898305085
-0.5985811608375737,103,48,220,56815,0.3188854489164087,8.441341469848584e-4,0.6821192052980133,0.3188854489164087,0.4345991561181435
-0.5982151372081038,104,49,219,56814,0.3219814241486068,8.617202750470429e-4,0.6797385620915033,0.3219814241486068,0.4369747899159664
-0.5974837612665986,105,55,218,56808,0.32507739938080493,9.672370434201502e-4,0.65625,0.32507739938080493,0.43478260869565216
-0.597118408680924,106,55,217,56808,0.3281733746130031,9.672370434201502e-4,0.6583850931677019,0.3281733746130031,0.4380165289256198
-0.5967532795030146,106,56,217,56807,0.3281733746130031,9.848231714823347e-4,0.654320987654321,0.3281733746130031,0.4371134020618557
-0.5963883735962598,110,59,213,56804,0.34055727554179566,0.0010375815556688884,0.650887573964497,0.34055727554179566,0.4471544715447155
-0.5960236908241326,111,61,212,56802,0.34365325077399383,0.0010727538117932575,0.6453488372093024,0.34365325077399383,0.44848484848484854
-0.5952949941380703,112,62,211,56801,0.34674922600619196,0.001090339939855442,0.6436781609195402,0.34674922600619196,0.4507042253521127
-0.5949309799514982,113,64,210,56799,0.3498452012383901,0.0011255121959798111,0.6384180790960452,0.3498452012383901,0.45199999999999996
-0.5945671883542798,114,66,209,56797,0.35294117647058826,0.0011606844521041802,0.6333333333333333,0.35294117647058826,0.4532803180914513
-0.5942036192103051,114,68,209,56795,0.35294117647058826,0.0011958567082285493,0.6263736263736264,0.35294117647058826,0.4514851485148515
