threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-0.7104015681226444,1,0,81,45,0.012195121951219513,0.0,1.0,0.012195121951219513,0.024096385542168676
-0.70333953100039,2,0,80,45,0.024390243902439025,0.0,1.0,0.024390243902439025,0.047619047619047616
-0.7010569659959419,3,0,79,45,0.036585365853658534,0.0,1.0,0.036585365853658534,0.07058823529411765
-0.6976676366316941,4,0,78,45,0.04878048780487805,0.0,1.0,0.04878048780487805,0.09302325581395349
-0.695848921266158,5,0,77,45,0.06097560975609756,0.0,1.0,0.06097560975609756,0.11494252873563218
-0.6958002793560503,6,0,76,45,0.07317073170731707,0.0,1.0,0.07317073170731707,0.13636363636363635
-0.6954963444445578,7,0,75,45,0.08536585365853659,0.0,1.0,0.08536585365853659,0.15730337078651685
-0.6947876791841633,8,0,74,45,0.0975609756097561,0.0,1.0,0.0975609756097561,0.17777777777777776
-0.6932533978127511,9,0,73,45,0.10975609756097561,0.0,1.0,0.10975609756097561,0.1978021978021978
-0.6912382037720909,10,0,72,45,0.12195121951219512,0.0,1.0,0.12195121951219512,0.21739130434782605
-0.6860412890380145,11,0,71,45,0.13414634146341464,0.0,1.0,0.13414634146341464,0.23655913978494622
-0.6853110635494367,12,0,70,45,0.14634146341463414,0.0,1.0,0.14634146341463414,0.2553191489361702
-0.6852555953935145,13,0,69,45,0.15853658536585366,0.0,1.0,0.15853658536585366,0.2736842105263158
-0.6828462725478761,14,0,68,45,0.17073170731707318,0.0,1.0,0.17073170731707318,0.2916666666666667
-0.6827091147459808,15,0,67,45,0.18292682926829268,0.0,1.0,0.18292682926829268,0.30927835051546393
-0.6826394537042791,16,0,66,45,0.1951219512195122,0.0,1.0,0.1951219512195122,0.326530612244898
-0.6814276422351264,17,0,65,45,0.2073170731707317,0.0,1.0,0.2073170731707317,0.3434343434343434
-0.6813998554355774,18,0,64,45,0.21951219512195122,0.0,1.0,0.21951219512195122,0.36
-0.6773891042650163,19,0,63,45,0.23170731707317074,0.0,1.0,0.23170731707317074,0.37623762376237624
-0.675805626267842,20,0,62,45,0.24390243902439024,0.0,1.0,0.24390243902439024,0.39215686274509803
-0.6746849052465812,21,0,61,45,0.25609756097560976,0.0,1.0,0.25609756097560976,0.4077669902912621
-0.6723412607652439,22,0,60,45,0.2682926829268293,0.0,1.0,0.2682926829268293,0.4230769230769231
-0.6709507158571417,23,0,59,45,0.2804878048780488,0.0,1.0,0.2804878048780488,0.43809523809523815
-0.6706489396585964,24,0,58,45,0.2926829268292683,0.0,1.0,0.2926829268292683,0.45283018867924524
-0.6702451451557264,25,0,57,45,0.3048780487804878,0.0,1.0,0.3048780487804878,0.4672897196261682
-0.670168571329433,26,0,56,45,0.3170731707317073,0.0,1.0,0.3170731707317073,0.48148148148148145
-0.6689141634956699,27,0,55,45,0.32926829268292684,0.0,1.0,0.32926829268292684,0.4954128440366972
-0.6673426100847725,28,0,54,45,0.34146341463414637,0.0,1.0,0.34146341463414637,0.5090909090909091
-0.6670251859390179,29,0,53,45,0.35365853658536583,0.0,1.0,0.35365853658536583,0.5225225225225225
-0.6598537955696399,30,0,52,45,0.36585365853658536,0.0,1.0,0.36585365853658536,0.5357142857142857
-0.6590392596611111,31,0,51,45,0.3780487804878049,0.0,1.0,0.3780487804878049,0.5486725663716815
-0.6575630390226573,32,0,50,45,0.3902439024390244,0.0,1.0,0.3902439024390244,0.5614035087719299
-0.657128805630114,33,0,49,45,0.4024390243902439,0.0,1.0,0.4024390243902439,0.5739130434782609
-0.6554041141929936,34,0,48,45,0.4146341463414634,0.0,1.0,0.4146341463414634,0.5862068965517241
-0.6515201459225511,35,0,47,45,0.4268292682926829,0.0,1.0,0.4268292682926829,0.5982905982905983
-0.6501020489882021,36,0,46,45,0.43902439024390244,0.0,1.0,0.43902439024390244,0.6101694915254238
