threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-0.7090209099946458,1,0,1,28,0.5,0.0,1.0,0.5,0.6666666666666666
-0.650401729278439,1,1,1,27,0.5,0.03571428571428571,0.5,0.5,0.5
-0.6300906558813664,2,1,0,27,1.0,0.03571428571428571,0.6666666666666666,1.0,0.8
-0.6159790234592211,2,2,0,26,1.0,0.07142857142857142,0.5,1.0,0.6666666666666666
-0.6045467204187978,2,3,0,25,1.0,0.10714285714285714,0.4,1.0,0.5714285714285715
-0.5680698823330719,2,4,0,24,1.0,0.14285714285714285,0.3333333333333333,1.0,0.5
-0.5619476363151322,2,5,0,23,1.0,0.17857142857142858,0.2857142857142857,1.0,0.4444444444444445
-0.550280562363683,2,6,0,22,1.0,0.21428571428571427,0.25,1.0,0.4
-0.5495910840363781,2,7,0,21,1.0,0.25,0.2222222222222222,1.0,0.3636363636363636
-0.5476021957954765,2,8,0,20,1.0,0.2857142857142857,0.2,1.0,0.33333333333333337
-0.5417704266396365,2,9,0,19,1.0,0.32142857142857145,0.18181818181818182,1.0,0.3076923076923077
-0.5399033164636362,2,10,0,18,1.0,0.35714285714285715,0.16666666666666666,1.0,0.2857142857142857
-0.5383286825825783,2,11,0,17,1.0,0.39285714285714285,0.15384615384615385,1.0,0.2666666666666667
-0.5342006547246758,2,12,0,16,1.0,0.42857142857142855,0.14285714285714285,1.0,0.25
-0.5297742081225756,2,13,0,15,1.0,0.4642857142857143,0.13333333333333333,1.0,0.23529411764705882
-0.5197619319328982,2,14,0,14,1.0,0.5,0.125,1.0,0.2222222222222222
-0.5189763662492239,2,15,0,13,1.0,0.5357142857142857,0.11764705882352941,1.0,0.21052631578947367
-0.5159678455092391,2,16,0,12,1.0,0.5714285714285714,0.1111111111111111,1.0,0.19999999999999998
-0.5145852298816631,2,17,0,11,1.0,0.6071428571428571,0.10526315789473684,1.0,0.1904761904761905
-0.5141254889920635,2,18,0,10,1.0,0.6428571428571429,0.1,1.0,0.18181818181818182
-0.5137465317064662,2,19,0,9,1.0,0.6785714285714286,0.09523809523809523,1.0,0.17391304347826084
-0.5113351537274735,2,20,0,8,1.0,0.7142857142857143,0.09090909090909091,1.0,0.16666666666666669
-0.5112919891565837,2,21,0,7,1.0,0.75,0.08695652173913043,1.0,0.16
-0.5031922754962268,2,22,0,6,1.0,0.7857142857142857,0.08333333333333333,1.0,0.15384615384615385
-0.49924139440520315,2,23,0,5,1.0,0.8214285714285714,0.08,1.0,0.14814814814814814
-0.49874756305243234,2,24,0,4,1.0,0.8571428571428571,0.07692307692307693,1.0,0.14285714285714288
-0.4949194734867868,2,25,0,3,1.0,0.8928571428571429,0.07407407407407407,1.0,0.13793103448275862
-0.4818258415124256,2,26,0,2,1.0,0.9285714285714286,0.07142857142857142,1.0,0.13333333333333333
-0.47249494922061475,2,27,0,1,1.0,0.9642857142857143,0.06896551724137931,1.0,0.12903225806451613
-0.4705876851300948,2,28,0,0,1.0,1.0,0.06666666666666667,1.0,0.125
