threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
0.6123583631313487,1,0,460,1380,0.0021691973969631237,0.0,1.0,0.0021691973969631237,0.004329004329004329
0.6184846932824425,2,0,459,1380,0.004338394793926247,0.0,1.0,0.004338394793926247,0.008639308855291577
0.6209493045481738,3,0,458,1380,0.006507592190889371,0.0,1.0,0.006507592190889371,0.012931034482758619
0.6252743411965118,4,0,457,1380,0.008676789587852495,0.0,1.0,0.008676789587852495,0.017204301075268817
0.6359788813851772,5,0,456,1380,0.010845986984815618,0.0,1.0,0.010845986984815618,0.02145922746781116
0.6390592290576947,6,0,455,1380,0.013015184381778741,0.0,1.0,0.013015184381778741,0.02569593147751606
0.6415781030235582,7,0,454,1380,0.015184381778741865,0.0,1.0,0.015184381778741865,0.029914529914529916
0.6431399801444406,8,0,453,1380,0.01735357917570499,0.0,1.0,0.01735357917570499,0.03411513859275054
0.6440525752187509,9,0,452,1380,0.019522776572668113,0.0,1.0,0.019522776572668113,0.03829787234042553
0.646023283752106,10,0,451,1380,0.021691973969631236,0.0,1.0,0.021691973969631236,0.04246284501061571
0.6481347032624147,11,0,450,1380,0.02386117136659436,0.0,1.0,0.02386117136659436,0.046610169491525424
0.6493437383286292,12,0,449,1380,0.026030368763557483,0.0,1.0,0.026030368763557483,0.0507399577167019
0.6506048755109501,13,0,448,1380,0.028199566160520606,0.0,1.0,0.028199566160520606,0.05485232067510549
0.6506422606916556,13,1,448,1379,0.028199566160520606,7.246376811594203e-4,0.9285714285714286,0.028199566160520606,0.05473684210526316
0.6509409583130863,13,2,448,1378,0.028199566160520606,0.0014492753623188406,0.8666666666666667,0.028199566160520606,0.0546218487394958
0.6510333558269472,14,2,447,1378,0.03036876355748373,0.0014492753623188406,0.875,0.03036876355748373,0.058700209643605866
0.6510433101668526,15,2,446,1378,0.03253796095444685,0.0014492753623188406,0.8823529411764706,0.03253796095444685,0.06276150627615062
0.6513327065333657,16,2,445,1378,0.03470715835140998,0.0014492753623188406,0.8888888888888888,0.03470715835140998,0.06680584551148226
0.6520885426141817,17,2,444,1378,0.0368763557483731,0.0014492753623188406,0.8947368421052632,0.0368763557483731,0.07083333333333333
0.6523528642898119,18,2,443,1378,0.039045553145336226,0.0014492753623188406,0.9,0.039045553145336226,0.07484407484407485
0.6533791415960596,19,2,442,1378,0.04121475054229935,0.0014492753623188406,0.9047619047619048,0.04121475054229935,0.07883817427385892
0.6535976413941971,19,3,442,1377,0.04121475054229935,0.002173913043478261,0.8636363636363636,0.04121475054229935,0.07867494824016565
0.6541347245617009,20,3,441,1377,0.04338394793926247,0.002173913043478261,0.8695652173913043,0.04338394793926247,0.08264462809917356
0.6549107813426582,21,3,440,1377,0.0455531453362256,0.002173913043478261,0.875,0.0455531453362256,0.0865979381443299
0.655298371929903,22,3,439,1377,0.04772234273318872,0.002173913043478261,0.88,0.04772234273318872,0.09053497942386832
0.6556722125566254,23,3,438,1377,0.049891540130151846,0.002173913043478261,0.8846153846153846,0.049891540130151846,0.09445585215605751
0.6559281748153455,24,3,437,1377,0.052060737527114966,0.002173913043478261,0.8888888888888888,0.052060737527114966,0.09836065573770493
0.6573348312301247,25,3,436,1377,0.05422993492407809,0.002173913043478261,0.8928571428571429,0.05422993492407809,0.10224948875255624
0.6576634588679726,26,3,435,1377,0.05639913232104121,0.002173913043478261,0.896551724137931,0.05639913232104121,0.10612244897959183
0.6581907980623701,27,3,434,1377,0.05856832971800434,0.002173913043478261,0.9,0.05856832971800434,0.10997963340122201
0.6582639237463296,28,3,433,1377,0.06073752711496746,0.002173913043478261,0.9032258064516129,0.06073752711496746,0.1138211382113821
0.6600024896501868,29,3,432,1377,0.06290672451193059,0.002173913043478261,0.90625,0.06290672451193059,0.11764705882352942
0.6600318057653133,30,3,431,1377,0.0650759219088937,0.002173913043478261,0.9090909090909091,0.0650759219088937,0.1214574898785425
0.6606542380622207,31,3,430,1377,0.06724511930585683,0.002173913043478261,0.9117647058823529,0.06724511930585683,0.12525252525252525
0.6607471085143575,31,4,430,1376,0.06724511930585683,0.002898550724637681,0.8857142857142857,0.06724511930585683,0.125
0.6611762931918359,32,4,429,1376,0.06941431670281996,0.002898550724637681,0.8888888888888888,0.06941431670281996,0.12877263581488935
0.6621612123861379,33,4,428,1376,0.07158351409978309,0.002898550724637681,0.8918918918918919,0.07158351409978309,0.1325301204819277
0.6626940516370358,34,4,427,1376,0.0737527114967462,0.002898550724637681,0.8947368421052632,0.0737527114967462,0.13627254509018036
0.6633109744738412,35,4,426,1376,0.07592190889370933,0.002898550724637681,0.8974358974358975,0.07592190889370933,0.13999999999999999
0.66331201832371,36,4,425,1376,0.07809110629067245,0.002898550724637681,0.9,0.07809110629067245,0.1437125748502994
0.6635583955638011,37,4,424,1376,0.08026030368763558,0.002898550724637681,0.9024390243902439,0.08026030368763558,0.14741035856573706
0.6641555383643001,38,4,423,1376,0.0824295010845987,0.002898550724637681,0.9047619047619048,0.0824295010845987,0.1510934393638171
0.6648011022502786,38,5,423,1375,0.0824295010845987,0.0036231884057971015,0.8837209302325582,0.0824295010845987,0.1507936507936508
0.6649350696079598,39,5,422,1375,0.08459869848156182,0.0036231884057971015,0.8863636363636364,0.08459869848156182,0.15445544554455448
0.6649554228197402,39,6,422,1374,0.08459869848156182,0.004347826086956522,0.8666666666666667,0.08459869848156182,0.1541501976284585
0.6659317838906257,39,7,422,1373,0.08459869848156182,0.005072463768115942,0.8478260869565217,0.08459869848156182,0.15384615384615383
0.6659361985515384,40,7,421,1373,0.08676789587852494,0.005072463768115942,0.851063829787234,0.08676789587852494,0.15748031496062992
0.6661719739822741,40,8,421,1372,0.08676789587852494,0.005797101449275362,0.8333333333333334,0.08676789587852494,0.15717092337917485
0.6668693720077461,41,8,420,1372,0.08893709327548807,0.005797101449275362,0.8367346938775511,0.08893709327548807,0.1607843137254902
0.6672462764934886,42,8,419,1372,0.0911062906724512,0.005797101449275362,0.84,0.0911062906724512,0.1643835616438356
0.6677020707556656,43,8,418,1372,0.09327548806941431,0.005797101449275362,0.8431372549019608,0.09327548806941431,0.16796875
0.6678086710719784,44,8,417,1372,0.09544468546637744,0.005797101449275362,0.8461538461538461,0.09544468546637744,0.17153996101364524
0.6678559669462057,44,9,417,1371,0.09544468546637744,0.006521739130434782,0.8301886792452831,0.09544468546637744,0.17120622568093385
0.6679262630062552,45,9,416,1371,0.09761388286334056,0.006521739130434782,0.8333333333333334,0.09761388286334056,0.17475728155339804
0.6686150118503296,46,9,415,1371,0.09978308026030369,0.006521739130434782,0.8363636363636363,0.09978308026030369,0.17829457364341084
0.6686734850417263,47,9,414,1371,0.1019522776572668,0.006521739130434782,0.8392857142857143,0.1019522776572668,0.1818181818181818
0.668912021993176,47,10,414,1370,0.1019522776572668,0.007246376811594203,0.8245614035087719,0.1019522776572668,0.18146718146718147
0.6691538779523771,48,10,413,1370,0.10412147505422993,0.007246376811594203,0.8275862068965517,0.10412147505422993,0.18497109826589594
0.6708764567397238,49,10,412,1370,0.10629067245119306,0.007246376811594203,0.8305084745762712,0.10629067245119306,0.18846153846153846
0.6710408360995769,50,10,411,1370,0.10845986984815618,0.007246376811594203,0.8333333333333334,0.10845986984815618,0.19193857965451058
0.6712869388896203,51,10,410,1370,0.11062906724511931,0.007246376811594203,0.8360655737704918,0.11062906724511931,0.1954022988505747
0.6714061880765606,52,10,409,1370,0.11279826464208242,0.007246376811594203,0.8387096774193549,0.11279826464208242,0.19885277246653918
0.6717655887370674,53,10,408,1370,0.11496746203904555,0.007246376811594203,0.8412698412698413,0.11496746203904555,0.20229007633587787
0.6719969417869802,54,10,407,1370,0.11713665943600868,0.007246376811594203,0.84375,0.11713665943600868,0.2057142857142857
0.6720369281438118,55,10,406,1370,0.1193058568329718,0.007246376811594203,0.8461538461538461,0.1193058568329718,0.20912547528517111
0.6724634425688595,56,10,405,1370,0.12147505422993492,0.007246376811594203,0.8484848484848485,0.12147505422993492,0.2125237191650854
0.6730787562127938,57,10,404,1370,0.12364425162689804,0.007246376811594203,0.8507462686567164,0.12364425162689804,0.21590909090909088
0.6732447174030481,58,10,403,1370,0.12581344902386118,0.007246376811594203,0.8529411764705882,0.12581344902386118,0.2192816635160681
0.6740676942595342,58,11,403,1369,0.12581344902386118,0.007971014492753623,0.8405797101449275,0.12581344902386118,0.2188679245283019
0.6742023421151703,59,11,402,1369,0.1279826464208243,0.007971014492753623,0.8428571428571429,0.1279826464208243,0.2222222222222222
0.6743828114364049,60,11,401,1369,0.1301518438177874,0.007971014492753623,0.8450704225352113,0.1301518438177874,0.22556390977443608
0.674554969326221,61,11,400,1369,0.13232104121475055,0.007971014492753623,0.8472222222222222,0.13232104121475055,0.22889305816135086
0.6751102156349037,61,12,400,1368,0.13232104121475055,0.008695652173913044,0.8356164383561644,0.13232104121475055,0.22846441947565546
0.6751845902361407,61,13,400,1367,0.13232104121475055,0.009420289855072464,0.8243243243243243,0.13232104121475055,0.2280373831775701
