threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-0.5995360101557623,1,0,305,329,0.0032679738562091504,0.0,1.0,0.0032679738562091504,0.006514657980456026
-0.5922249956480691,2,0,304,329,0.006535947712418301,0.0,1.0,0.006535947712418301,0.012987012987012988
-0.5816384367589801,3,0,303,329,0.00980392156862745,0.0,1.0,0.00980392156862745,0.01941747572815534
-0.5796930714562564,4,0,302,329,0.013071895424836602,0.0,1.0,0.013071895424836602,0.02580645161290323
-0.5669339135306003,5,0,301,329,0.016339869281045753,0.0,1.0,0.016339869281045753,0.03215434083601287
-0.5519073827497114,6,0,300,329,0.0196078431372549,0.0,1.0,0.0196078431372549,0.038461538461538464
-0.5451468781875269,7,0,299,329,0.02287581699346405,0.0,1.0,0.02287581699346405,0.04472843450479233
-0.5427246543226121,8,0,298,329,0.026143790849673203,0.0,1.0,0.026143790849673203,0.05095541401273886
-0.5363284906230142,9,0,297,329,0.029411764705882353,0.0,1.0,0.029411764705882353,0.05714285714285715
-0.532990701278844,10,0,296,329,0.032679738562091505,0.0,1.0,0.032679738562091505,0.06329113924050632
-0.5311252126163577,11,0,295,329,0.03594771241830065,0.0,1.0,0.03594771241830065,0.06940063091482648
-0.5304660018981905,12,0,294,329,0.0392156862745098,0.0,1.0,0.0392156862745098,0.07547169811320754
-0.5299891371541524,13,0,293,329,0.042483660130718956,0.0,1.0,0.042483660130718956,0.08150470219435736
-0.5261684214198369,13,1,293,328,0.042483660130718956,0.00303951367781155,0.9285714285714286,0.042483660130718956,0.08125000000000002
-0.5220470445493133,14,1,292,328,0.0457516339869281,0.00303951367781155,0.9333333333333333,0.0457516339869281,0.08722741433021806
-0.5122510576704877,15,1,291,328,0.049019607843137254,0.00303951367781155,0.9375,0.049019607843137254,0.09316770186335402
-0.5111610030118648,16,1,290,328,0.05228758169934641,0.00303951367781155,0.9411764705882353,0.05228758169934641,0.09907120743034056
-0.5088977357436171,16,2,290,327,0.05228758169934641,0.0060790273556231,0.8888888888888888,0.05228758169934641,0.09876543209876543
-0.5088745815176774,16,3,290,326,0.05228758169934641,0.00911854103343465,0.8421052631578947,0.05228758169934641,0.09846153846153846
-0.5049711885432148,16,4,290,325,0.05228758169934641,0.0121580547112462,0.8,0.05228758169934641,0.09815950920245399
-0.5033829107911559,17,4,289,325,0.05555555555555555,0.0121580547112462,0.8095238095238095,0.05555555555555555,0.10397553516819572
-0.503258743041263,18,4,288,325,0.058823529411764705,0.0121580547112462,0.8181818181818182,0.058823529411764705,0.10975609756097561
-0.5009917629337246,19,4,287,325,0.06209150326797386,0.0121580547112462,0.8260869565217391,0.06209150326797386,0.11550151975683892
-0.500076648574373,19,5,287,324,0.06209150326797386,0.015197568389057751,0.7916666666666666,0.06209150326797386,0.11515151515151516
-0.49970019621724454,20,5,286,324,0.06535947712418301,0.015197568389057751,0.8,0.06535947712418301,0.12084592145015108
-0.4995255676845311,21,5,285,324,0.06862745098039216,0.015197568389057751,0.8076923076923077,0.06862745098039216,0.12650602409638556
-0.499067911532636,21,6,285,323,0.06862745098039216,0.0182370820668693,0.7777777777777778,0.06862745098039216,0.12612612612612614
-0.4923284295926593,22,6,284,323,0.0718954248366013,0.0182370820668693,0.7857142857142857,0.0718954248366013,0.13173652694610777
-0.49201180340704365,22,7,284,322,0.0718954248366013,0.02127659574468085,0.7586206896551724,0.0718954248366013,0.13134328358208955
-0.48935788044683587,23,7,283,322,0.07516339869281045,0.02127659574468085,0.7666666666666667,0.07516339869281045,0.13690476190476192
-0.48827621096692186,23,8,283,321,0.07516339869281045,0.0243161094224924,0.7419354838709677,0.07516339869281045,0.13649851632047477
-0.48649382019113624,23,9,283,320,0.07516339869281045,0.02735562310030395,0.71875,0.07516339869281045,0.13609467455621302
-0.4842135640220872,23,10,283,319,0.07516339869281045,0.030395136778115502,0.696969696969697,0.07516339869281045,0.13569321533923304
-0.48309225531260247,24,10,282,319,0.0784313725490196,0.030395136778115502,0.7058823529411765,0.0784313725490196,0.1411764705882353
-0.48223842229463487,25,10,281,319,0.08169934640522876,0.030395136778115502,0.7142857142857143,0.08169934640522876,0.14662756598240467
-0.48073036035859473,26,10,280,319,0.08496732026143791,0.030395136778115502,0.7222222222222222,0.08496732026143791,0.15204678362573099
-0.480672967861314,27,10,279,319,0.08823529411764706,0.030395136778115502,0.7297297297297297,0.08823529411764706,0.1574344023323615
-0.48037340115690635,28,10,278,319,0.0915032679738562,0.030395136778115502,0.7368421052631579,0.0915032679738562,0.1627906976744186
-0.4796607670841213,29,10,277,319,0.09477124183006536,0.030395136778115502,0.7435897435897436,0.09477124183006536,0.16811594202898553
-0.4783872805401433,30,10,276,319,0.09803921568627451,0.030395136778115502,0.75,0.09803921568627451,0.17341040462427745
-0.47795478418082404,30,11,276,318,0.09803921568627451,0.03343465045592705,0.7317073170731707,0.09803921568627451,0.1729106628242075
