threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-0.5601433612187456,0,1,3000,39609,0.0,2.5246149962130775e-5,0.0,0.0,0.0
-0.5532778254329626,0,2,3000,39608,0.0,5.049229992426155e-5,0.0,0.0,0.0
-0.5508016015107278,0,3,3000,39607,0.0,7.573844988639233e-5,0.0,0.0,0.0
-0.5363377062702739,0,4,3000,39606,0.0,1.009845998485231e-4,0.0,0.0,0.0
-0.5355666699799062,1,4,2999,39606,3.333333333333333e-4,1.009845998485231e-4,0.2,3.333333333333333e-4,6.655574043261231e-4
-0.5350544456719729,1,5,2999,39605,3.333333333333333e-4,1.2623074981065388e-4,0.16666666666666666,3.333333333333333e-4,6.653359946773121e-4
-0.5350020076734263,1,6,2999,39604,3.333333333333333e-4,1.5147689977278465e-4,0.14285714285714285,3.333333333333333e-4,6.651147322913202e-4
-0.5341916174053908,1,7,2999,39603,3.333333333333333e-4,1.7672304973491543e-4,0.125,3.333333333333333e-4,6.648936170212766e-4
-0.5266705799062489,1,8,2999,39602,3.333333333333333e-4,2.019691996970462e-4,0.1111111111111111,3.333333333333333e-4,6.646726487205051e-4
-0.5236044130199776,1,9,2999,39601,3.333333333333333e-4,2.2721534965917698e-4,0.1,3.333333333333333e-4,6.644518272425248e-4
-0.5223447934038947,1,10,2999,39600,3.333333333333333e-4,2.5246149962130775e-4,0.09090909090909091,3.333333333333333e-4,6.642311524410494e-4
-0.5213448882282352,2,10,2998,39600,6.666666666666666e-4,2.5246149962130775e-4,0.16666666666666666,6.666666666666666e-4,0.0013280212483399733
-0.5208461966739504,2,11,2998,39599,6.666666666666666e-4,2.777076495834385e-4,0.15384615384615385,6.666666666666666e-4,0.0013275804845668767
-0.5200708782701754,3,11,2997,39599,0.001,2.777076495834385e-4,0.21428571428571427,0.001,0.0019907100199071004
-0.5194771587737953,3,12,2997,39598,0.001,3.029537995455693e-4,0.2,0.001,0.001990049751243781
-0.5192465735368352,3,13,2997,39597,0.001,3.2819994950770005e-4,0.1875,0.001,0.001989389920424403
-0.5184977117327731,4,13,2996,39597,0.0013333333333333333,3.2819994950770005e-4,0.23529411764705882,0.0013333333333333333,0.0026516407026847865
-0.5183920055935765,4,14,2996,39596,0.0013333333333333333,3.5344609946983085e-4,0.2222222222222222,0.0013333333333333333,0.0026507620941020544
-0.517697727691066,4,15,2996,39595,0.0013333333333333333,3.786922494319616e-4,0.21052631578947367,0.0013333333333333333,0.002649884067572044
-0.5171059967490991,4,16,2996,39594,0.0013333333333333333,4.039383993940924e-4,0.2,0.0013333333333333333,0.0026490066225165563
-0.5169207972376721,4,17,2996,39593,0.0013333333333333333,4.2918454935622315e-4,0.19047619047619047,0.0013333333333333333,0.0026481297583581596
-0.5147237141259379,4,18,2996,39592,0.0013333333333333333,4.5443069931835396e-4,0.18181818181818182,0.0013333333333333333,0.0026472534745201853
-0.5131789245375066,5,18,2995,39592,0.0016666666666666668,4.5443069931835396e-4,0.21739130434782608,0.0016666666666666668,0.0033079722130334105
-0.512551513601625,5,19,2995,39591,0.0016666666666666668,4.796768492804847e-4,0.20833333333333334,0.0016666666666666668,0.0033068783068783067
-0.5112591194548686,7,19,2993,39591,0.0023333333333333335,4.796768492804847e-4,0.2692307692307692,0.0023333333333333335,0.004626569729015201
-0.5105871118904899,8,19,2992,39591,0.0026666666666666666,4.796768492804847e-4,0.2962962962962963,0.0026666666666666666,0.005285761480013215
-0.5099616054516076,9,19,2991,39591,0.003,4.796768492804847e-4,0.32142857142857145,0.003,0.005944517833553501
-0.509818495495539,9,20,2991,39590,0.003,5.049229992426155e-4,0.3103448275862069,0.003,0.005942555298778475
-0.5089661702423193,10,20,2990,39590,0.0033333333333333335,5.049229992426155e-4,0.3333333333333333,0.0033333333333333335,0.006600660066006601
-0.5088398779475173,10,21,2990,39589,0.0033333333333333335,5.301691492047463e-4,0.3225806451612903,0.0033333333333333335,0.006598482349059716
-0.5085956854268072,10,22,2990,39588,0.0033333333333333335,5.55415299166877e-4,0.3125,0.0033333333333333335,0.0065963060686015824
