threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
0.6001302603268284,1,0,38,715,0.02564102564102564,0.0,1.0,0.02564102564102564,0.05
0.5988534905265513,1,1,38,714,0.02564102564102564,0.0013986013986013986,0.5,0.02564102564102564,0.048780487804878044
0.5985347227262063,1,2,38,713,0.02564102564102564,0.002797202797202797,0.3333333333333333,0.02564102564102564,0.047619047619047616
0.5969434271050399,1,3,38,712,0.02564102564102564,0.004195804195804196,0.25,0.02564102564102564,0.04651162790697674
0.5966256760253537,2,3,37,712,0.05128205128205128,0.004195804195804196,0.4,0.05128205128205128,0.09090909090909091
0.5963080940835522,2,7,37,708,0.05128205128205128,0.009790209790209791,0.2222222222222222,0.05128205128205128,0.08333333333333333
0.5959906811896042,3,10,36,705,0.07692307692307693,0.013986013986013986,0.23076923076923078,0.07692307692307693,0.11538461538461538
0.5956734372535258,3,11,36,704,0.07692307692307693,0.015384615384615385,0.21428571428571427,0.07692307692307693,0.11320754716981134
0.5953563621853813,3,14,36,701,0.07692307692307693,0.019580419580419582,0.17647058823529413,0.07692307692307693,0.10714285714285716
0.595039455895283,3,19,36,696,0.07692307692307693,0.026573426573426574,0.13636363636363635,0.07692307692307693,0.09836065573770493
0.5947227182933906,4,25,35,690,0.10256410256410256,0.03496503496503497,0.13793103448275862,0.10256410256410256,0.11764705882352941
0.5944061492899122,4,35,35,680,0.10256410256410256,0.04895104895104895,0.10256410256410256,0.10256410256410256,0.10256410256410256
0.5940897487951031,4,41,35,674,0.10256410256410256,0.057342657342657345,0.08888888888888889,0.10256410256410256,0.09523809523809523
0.593773516719267,4,49,35,666,0.10256410256410256,0.06853146853146853,0.07547169811320754,0.10256410256410256,0.08695652173913043
0.5934574529727548,4,59,35,656,0.10256410256410256,0.08251748251748252,0.06349206349206349,0.10256410256410256,0.0784313725490196
0.5931415574659654,6,74,33,641,0.15384615384615385,0.1034965034965035,0.075,0.15384615384615385,0.10084033613445378
0.5928258301093454,7,86,32,629,0.1794871794871795,0.12027972027972028,0.07526881720430108,0.1794871794871795,0.10606060606060606
