threshold,fpr,tpr
0.0,0.0,0.0
0.5132809432602454,1.0,1.0
0.5286293737883446,0.9375,1.0
0.5296484967464262,0.875,1.0
0.5326835779827828,0.8125,1.0
0.5415073082977306,0.75,1.0
0.5439047890326517,0.6875,1.0
0.5482736929992118,0.625,1.0
0.5639252307540091,0.5625,1.0
0.580533514452862,0.5,1.0
0.5938532640385058,0.4375,1.0
0.6106772254626117,0.375,1.0
0.617595331875648,0.3125,1.0
0.6280071204111711,0.25,1.0
0.6360461719791285,0.1875,1.0
0.6403969714248646,0.125,1.0
0.6429170251593505,0.125,0.8
0.6607052731350046,0.0625,0.8
0.6771161116490396,0.0,0.8
0.6839196051273215,0.0,0.6
0.6865741971105811,0.0,0.4
0.7095479669561222,0.0,0.2
1.0,1.0,1.0
