dataset,algo,auc,selected_by,threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
10_cover,ocsvm,0.8115334421420852,youden,653.966093318365,1793.0,21810.0,20.0,34850.0,0.988968560397132,0.3849276385457112,0.0759649197135957,0.988968560397132,0.1410922253698457
10_cover_by_fpr,ocsvm,0.8115334421420852,youden,,,,,,,,,,
10_cover_by_threshold,ocsvm,0.8115334421420852,youden,,,,,,,,,,
11_donors,ocsvm,0.9780983236427543,youden,-272.7559447030944,24228.0,4614.0,0.0,111909.0,1.0,0.0395973327154295,0.8400249635947576,1.0,0.9130582249858678
11_donors_by_fpr,ocsvm,0.9780983236427543,youden,,,,,,,,,,
11_donors_by_threshold,ocsvm,0.9780983236427543,youden,,,,,,,,,,
12_fault,ocsvm,0.5936687675818111,youden,-0.1471756411238143,146.0,31.0,298.0,222.0,0.3288288288288288,0.1225296442687747,0.8248587570621468,0.3288288288288288,0.4702093397745572
12_fault_by_fpr,ocsvm,0.5936687675818111,youden,,,,,,,,,,
12_fault_by_threshold,ocsvm,0.5936687675818111,youden,,,,,,,,,,
13_fraud,ocsvm,0.9378322231275822,youden,-411.0229841711771,264.0,1496.0,60.0,55367.0,0.8148148148148148,0.026308847581028,0.15,0.8148148148148148,0.2533589251439539
13_fraud_by_fpr,ocsvm,0.9378322231275822,youden,,,,,,,,,,
13_fraud_by_threshold,ocsvm,0.9378322231275822,youden,,,,,,,,,,
14_glass,ocsvm,0.3024390243902439,youden,-2.0526713298220507,1.0,0.0,4.0,41.0,0.2,0.0,1.0,0.2,0.3333333333333333
14_glass_by_fpr,ocsvm,0.3024390243902439,youden,,,,,,,,,,
14_glass_by_threshold,ocsvm,0.3024390243902439,youden,,,,,,,,,,
15_Hepatitis,ocsvm,0.6826923076923077,youden,0.1981532065312976,6.0,5.0,2.0,8.0,0.75,0.3846153846153846,0.5454545454545454,0.75,0.631578947368421
15_Hepatitis_by_fpr,ocsvm,0.6826923076923077,youden,,,,,,,,,,
15_Hepatitis_by_threshold,ocsvm,0.6826923076923077,youden,,,,,,,,,,
16_http,ocsvm,0.9958973699225748,youden,-7169.2995055192405,1459.0,606.0,0.0,112451.0,1.0,0.0053601280769877,0.7065375302663438,1.0,0.8280363223609535
16_http_by_fpr,ocsvm,0.9958973699225748,youden,,,,,,,,,,
16_http_by_threshold,ocsvm,0.9958973699225748,youden,,,,,,,,,,
17_InternetAds,ocsvm,0.7074665146765461,youden,-1.997981878513806,116.0,5.0,126.0,314.0,0.4793388429752066,0.0156739811912225,0.9586776859504132,0.4793388429752066,0.6391184573002755
17_InternetAds_by_fpr,ocsvm,0.7074665146765461,youden,,,,,,,,,,
17_InternetAds_by_threshold,ocsvm,0.7074665146765461,youden,,,,,,,,,,
18_Ionosphere,ocsvm,0.9609103078982599,youden,-0.2656635868439578,75.0,1.0,8.0,44.0,0.9036144578313252,0.0222222222222222,0.986842105263158,0.9036144578313252,0.9433962264150944
18_Ionosphere_by_fpr,ocsvm,0.9609103078982599,youden,,,,,,,,,,
18_Ionosphere_by_threshold,ocsvm,0.9609103078982599,youden,,,,,,,,,,
19_landsat,ocsvm,0.40692966606437797,youden,-2.939722339418424,160.0,69.0,719.0,951.0,0.1820250284414107,0.0676470588235294,0.6986899563318777,0.1820250284414107,0.2888086642599278
19_landsat_by_fpr,ocsvm,0.40692966606437797,youden,,,,,,,,,,
19_landsat_by_threshold,ocsvm,0.40692966606437797,youden,,,,,,,,,,
1_ALOI,ocsvm,0.521177464626621,youden,59.681727450089966,615.0,5582.0,380.0,4023.0,0.6180904522613065,0.5811556480999479,0.0992415685008875,0.6180904522613065,0.1710233592880979
1_ALOI_by_fpr,ocsvm,0.521177464626621,youden,,,,,,,,,,
1_ALOI_by_threshold,ocsvm,0.521177464626621,youden,,,,,,,,,,
20_letter,ocsvm,0.4937373737373737,youden,-0.4614763710358289,16.0,18.0,50.0,282.0,0.2424242424242424,0.06,0.4705882352941176,0.2424242424242424,0.32
20_letter_by_fpr,ocsvm,0.4937373737373737,youden,,,,,,,,,,
20_letter_by_threshold,ocsvm,0.4937373737373737,youden,,,,,,,,,,
21_Lymphography,ocsvm,1.0,youden,-0.5327545464478474,3.0,0.0,0.0,28.0,1.0,0.0,1.0,1.0,1.0
21_Lymphography_by_fpr,ocsvm,1.0,youden,,,,,,,,,,
21_Lymphography_by_threshold,ocsvm,1.0,youden,,,,,,,,,,
22_magic.gamma,ocsvm,0.7398871135894014,youden,6.149433994330778,2476.0,427.0,1938.0,2039.0,0.5609424558223833,0.173154906731549,0.8529107819497072,0.5609424558223833,0.6767801011343446
22_magic.gamma_by_fpr,ocsvm,0.7398871135894014,youden,,,,,,,,,,
22_magic.gamma_by_threshold,ocsvm,0.7398871135894014,youden,,,,,,,,,,
23_mammography,ocsvm,0.8225558554505923,youden,-0.2672563598433015,118.0,193.0,53.0,1991.0,0.6900584795321637,0.0883699633699633,0.3794212218649517,0.6900584795321637,0.4896265560165975
