dataset,method,tag,file,auc,n_points
10_cover,adjusted,t100,csv/adjusted/10_cover_t100.csv,0.7642052625597582,5976
10_cover,mad,t100,csv/mad/10_cover_t100.csv,0.7716954204185514,45127
10_cover,zscore_more_trees,t100,csv/zscore_more_trees/10_cover_t100.csv,0.5200860853518153,5634
11_donors,adjusted,t100,csv/adjusted/11_donors_t100.csv,0.7624580432681235,420
11_donors,mad,t100,csv/mad/11_donors_t100.csv,0.03239335941600584,37
11_donors,zscore_more_trees,t100,csv/zscore_more_trees/11_donors_t100.csv,0.9927073340315618,6205
12_fault,adjusted,t100,csv/adjusted/12_fault_t100.csv,0.5572643571923713,677
12_fault,mad,t100,csv/mad/12_fault_t100.csv,0.5273590942215745,655
12_fault,zscore_more_trees,t100,csv/zscore_more_trees/12_fault_t100.csv,0.7485647251204209,685
13_fraud,adjusted,t100,csv/adjusted/13_fraud_t100.csv,0.9362349275640935,8342
13_fraud,mad,t100,csv/mad/13_fraud_t100.csv,0.9425221580373035,6666
13_fraud,zscore_more_trees,t100,csv/zscore_more_trees/13_fraud_t100.csv,0.937460061071605,6009
14_glass,adjusted,t100,csv/adjusted/14_glass_t100.csv,0.9545454545454546,39
14_glass,mad,t100,csv/mad/14_glass_t100.csv,0.7272727272727273,38
14_glass,zscore_more_trees,t100,csv/zscore_more_trees/14_glass_t100.csv,0.8636363636363636,39
15_Hepatitis,adjusted,t100,csv/adjusted/15_Hepatitis_t100.csv,0.6369047619047619,8
15_Hepatitis,mad,t100,csv/mad/15_Hepatitis_t100.csv,0.6011904761904762,6
15_Hepatitis,zscore_more_trees,t100,csv/zscore_more_trees/15_Hepatitis_t100.csv,0.5357142857142856,21
16_http,adjusted,t100,csv/adjusted/16_http_t100.csv,0.9581586265517623,227
16_http,mad,t100,csv/mad/16_http_t100.csv,0.1966787478380468,216
16_http,zscore_more_trees,t100,csv/zscore_more_trees/16_http_t100.csv,0.9899696180157502,14510
17_InternetAds,adjusted,t100,csv/adjusted/17_InternetAds_t100.csv,0.6071668293873567,405
17_InternetAds,mad,t100,csv/mad/17_InternetAds_t100.csv,0.5739412985111056,397
17_InternetAds,zscore_more_trees,t100,csv/zscore_more_trees/17_InternetAds_t100.csv,0.5777855748108371,422
18_Ionosphere,adjusted,t100,csv/adjusted/18_Ionosphere_t100.csv,0.9327970939283861,126
18_Ionosphere,mad,t100,csv/mad/18_Ionosphere_t100.csv,0.8624805396990141,128
18_Ionosphere,zscore_more_trees,t100,csv/zscore_more_trees/18_Ionosphere_t100.csv,0.9657498702646601,129
19_landsat,adjusted,t100,csv/adjusted/19_landsat_t100.csv,0.8089732996745199,1818
19_landsat,mad,t100,csv/mad/19_landsat_t100.csv,0.5504123280730024,1395
19_landsat,zscore_more_trees,t100,csv/zscore_more_trees/19_landsat_t100.csv,0.5881580929512784,1860
1_ALOI,adjusted,t100,csv/adjusted/1_ALOI_t100.csv,0.5275928920849335,5314
1_ALOI,mad,t100,csv/mad/1_ALOI_t100.csv,0.5016289235940301,1896
1_ALOI,zscore_more_trees,t100,csv/zscore_more_trees/1_ALOI_t100.csv,0.5139659573389973,6377
20_letter,adjusted,t100,csv/adjusted/20_letter_t100.csv,0.6562877395641902,360
20_letter,mad,t100,csv/mad/20_letter_t100.csv,0.4694670517196114,349
20_letter,zscore_more_trees,t100,csv/zscore_more_trees/20_letter_t100.csv,0.8540299291152534,358
21_Lymphography,adjusted,t100,csv/adjusted/21_Lymphography_t100.csv,0.5,24
21_Lymphography,mad,t100,csv/mad/21_Lymphography_t100.csv,0.7708333333333334,10
21_Lymphography,zscore_more_trees,t100,csv/zscore_more_trees/21_Lymphography_t100.csv,0.9722222222222222,39
