dataset,run,adjusted,mad,zscore_more_trees
10_cover,t100,2.0,1.0,3.0
11_donors,t100,2.0,3.0,1.0
12_fault,t100,2.0,3.0,1.0
13_fraud,t100,3.0,1.0,2.0
14_glass,t100,1.0,3.0,2.0
15_Hepatitis,t100,1.0,2.0,3.0
16_http,t100,2.0,3.0,1.0
17_InternetAds,t100,1.0,3.0,2.0
18_Ionosphere,t100,2.0,3.0,1.0
19_landsat,t100,1.0,3.0,2.0
1_ALOI,t100,1.0,3.0,2.0
20_letter,t100,2.0,3.0,1.0
21_Lymphography,t100,3.0,2.0,1.0
22_magic.gamma,t100,1.0,3.0,2.0
23_mammography,t100,2.0,3.0,1.0
24_mnist,t100,1.0,3.0,2.0
25_musk,t100,1.5,3.0,1.5
26_optdigits,t100,3.0,2.0,1.0
27_PageBlocks,t100,3.0,2.0,1.0
28_pendigits,t100,2.0,3.0,1.0
29_Pima,t100,1.0,3.0,2.0
2_annthyroid,t100,3.0,1.0,2.0
30_satellite,t100,1.0,3.0,2.0
32_shuttle,t100,3.0,2.0,1.0
33_skin,t100,3.0,1.0,2.0
34_smtp,t100,3.0,2.0,1.0
35_SpamBase,t100,2.0,3.0,1.0
36_speech,t100,3.0,2.0,1.0
37_Stamps,t100,1.0,3.0,2.0
38_thyroid,t100,3.0,2.0,1.0
39_vertebral,t100,3.0,1.0,2.0
40_vowels,t100,3.0,2.0,1.0
41_Waveform,t100,1.0,3.0,2.0
42_WBC,t100,2.0,1.0,3.0
43_WDBC,t100,1.0,3.0,2.0
44_Wilt,t100,2.0,1.0,3.0
45_wine,t100,2.0,3.0,1.0
46_WPBC,t100,2.0,1.0,3.0
47_yeast,t100,3.0,2.0,1.0
4_breastw,t100,1.0,2.0,3.0
5_campaign,t100,2.0,3.0,1.0
6_cardio,t100,1.0,3.0,2.0
7_Cardiotocography,t100,2.0,1.0,3.0
8_celeba,t100,2.0,3.0,1.0
